participantID,control,truncated,difference,graphliteracy_sum_rating,subject_condition,dem_ed,dem_gender,dem_age
s21001,3.7,5.25,1.55,42,warning,6,male,33
s21002,3.1,3.2,0.1,48,warning,6,male,39
s21003,4.3,4.7,0.4,56,warning,6,male,30
s21004,3.95,3.65,-0.3,53,warning,3,male,26
s21005,2.8,3.15,0.35,55,warning,6,female,36
s21006,4,5.45,1.45,54,warning,7,female,27
s21007,3.4,4.75,1.35,43,warning,5,male,31
s21008,3.75,4.15,0.4,44,warning,6,male,33
s21009,3.05,3.1,0.05,49,warning,6,female,35
s21010,4.25,4.95,0.7,32,warning,6,female,53
s21011,3.25,5.1,1.85,53,warning,6,male,26
s21012,3.9,3.5,-0.4,26,warning,2,male,41
s21013,3.15,3.4,0.25,37,warning,6,female,41
s21014,3.9,4.4,0.5,56,warning,6,male,31
s21015,3.7,4.25,0.55,40,warning,6,female,27
s21016,3.7,4.85,1.15,48,warning,5,male,29
s21017,3.5,4.55,1.05,32,warning,2,female,61
s21018,3.85,4.8,0.95,57,warning,3,female,52
s21019,3.7,4.3,0.6,30,warning,2,male,75
s21020,4,4,0,55,warning,3,male,25
s21021,3.55,3.15,-0.4,47,warning,3,male,40
s21022,5.55,6.55,1,36,warning,5,female,43
s21023,3.15,3.55,0.4,35,warning,6,female,40
s21024,3.35,4.65,1.3,56,warning,5,female,45
s21025,3.2,4.3,1.1,33,warning,2,female,62
s21026,2.85,4.35,1.5,50,warning,2,female,32
s21027,4,3.95,-0.05,47,warning,3,male,59
s21028,3.25,4.05,0.8,47,warning,6,female,35
s21029,3.05,4.65,1.6,35,warning,6,male,32
s21030,4.7,4.75,0.05,36,warning,3,male,24
s21031,3.1,5.3,2.2,41,warning,8,male,27
s21032,3.45,3.55,0.1,32,warning,7,male,26
s21033,3.85,3.45,-0.4,33,warning,6,male,24
s21034,2.6,3.15,0.55,52,warning,6,female,31
s21035,2.55,2.25,-0.3,53,warning,8,female,38
s21036,3.35,3.55,0.2,52,warning,3,male,38
s21037,3.65,3.75,0.1,32,warning,3,male,25
s21038,4.1,3.55,-0.55,37,warning,6,male,23
s21039,4.15,5.65,1.5,51,warning,6,male,32
s21040,3.3,4.25,0.95,31,warning,3,female,36
s21041,3.5,4.25,0.75,45,warning,5,male,41
s21042,3.6,4,0.4,51,warning,6,male,40
s21043,3.35,3.4,0.05,53,warning,8,male,59
s21044,3.65,4.35,0.7,50,warning,6,female,31
s21045,3.05,3.55,0.5,44,warning,2,male,22
s21046,4.1,4,-0.1,44,warning,6,female,29
s21047,4.1,4.9,0.8,50,warning,3,male,21
s21048,3.4,4.7,1.3,57,warning,8,male,38
s21049,3.45,3.5,0.05,39,warning,3,male,42
s21050,3.3,4.2,0.9,29,warning,3,female,29
s21051,3.15,3.95,0.8,35,warning,3,male,22
s21052,5.7,6.25,0.55,53,warning,6,male,30
s21053,3.9,4.45,0.55,33,warning,6,male,24
s21054,5.5,6.1,0.6,53,warning,6,male,30
s21055,4.45,5.65,1.2,42,warning,2,female,36
s21056,3.85,3.9,0.05,45,warning,6,male,35
s21057,3.3,4.6,1.3,46,warning,6,female,29
s21058,3.05,3.6,0.55,43,warning,3,female,25
s21059,4.35,4.65,0.3,45,warning,6,female,39
s21060,3.6,3.65,0.05,43,warning,4,female,25
s21061,2.9,2.7,-0.2,39,warning,6,female,34
s21062,3.4,4.05,0.65,53,warning,3,female,46
s21063,3.35,4.55,1.2,41,warning,4,female,30
s21064,3.05,3.65,0.6,34,warning,6,female,48
s21065,3.35,4.2,0.85,45,warning,6,female,47
s21066,3.05,4.55,1.5,34,warning,1,female,24
s21067,4.35,4.15,-0.2,52,warning,6,male,25
s21068,3.7,3.95,0.25,33,warning,3,female,58
s21069,3.3,4.55,1.25,56,warning,6,male,22
s21070,3.55,4.75,1.2,48,warning,6,male,30
s21071,3.6,4.25,0.65,60,warning,6,male,30
s21072,3.85,4,0.15,50,warning,5,male,68
s21073,3.5,3.9,0.4,49,warning,6,female,33
s21074,4.4,5.1,0.7,35,warning,3,female,32
s21075,3.3,3.45,0.15,50,warning,6,male,66
s21076,3.5,3.5,0,39,warning,3,male,29
s21077,3.1,4.05,0.95,37,warning,6,female,26
s21078,4.05,4.65,0.6,48,warning,2,male,43
s21079,3.8,5.4,1.6,44,warning,3,female,41
s21080,3.6,4.15,0.55,44,warning,6,female,41
s21081,3.45,3.85,0.4,50,warning,6,male,22
