participantID,session,subject_condition,control,truncated,difference,graphliteracy_sum_rating,dem_ed,dem_gender,dem_age
s41001,1,no warning,3,3.95,0.95,45,6,male,33
s41001,2,no warning,2.95,4,1.05,45,6,male,33
s41002,1,no warning,3.3,5.4,2.1,35,5,male,29
s41002,2,no warning,2.95,4.7,1.75,35,5,male,29
s41003,1,warning,3.9,4.6,0.7,50,6,female,26
s41003,2,warning,3.2,3.9,0.7,50,6,female,26
s41004,1,no warning,3.05,4.85,1.8,34,2,male,28
s41004,2,no warning,2.55,3.9,1.35,34,2,male,28
s41005,1,no warning,3.2,4.35,1.15,50,6,male,24
s41005,2,no warning,3.75,4.25,0.5,50,6,male,24
s41006,1,no warning,2.65,4.75,2.1,46,5,male,29
s41006,2,no warning,2.85,4.65,1.8,46,5,male,29
s41007,1,no warning,3.65,5.45,1.8,50,6,male,33
s41007,2,no warning,3.1,5.5,2.4,50,6,male,33
s41008,1,no warning,3.5,5.5,2,43,3,female,36
s41008,2,no warning,3.4,4.95,1.55,43,3,female,36
s41009,1,warning,2.65,4.35,1.7,42,5,female,34
s41009,2,warning,3,4.3,1.3,42,5,female,34
s41010,1,warning,3.5,4.25,0.75,48,6,female,40
s41010,2,warning,3.7,3.55,-0.15,48,6,female,40
s41011,1,no warning,3.6,3.45,-0.15,47,6,male,31
s41011,2,no warning,3.2,3.1,-0.1,47,6,male,31
s41012,1,warning,2.25,2.85,0.6,51,5,male,57
s41012,2,warning,2.6,3.1,0.5,51,5,male,57
s41013,1,no warning,4.25,5,0.75,48,5,female,42
s41013,2,no warning,4.1,4.65,0.55,48,5,female,42
s41014,1,no warning,3.7,4.3,0.6,55,2,female,43
s41014,2,no warning,3.6,5.15,1.55,55,2,female,43
s41015,1,warning,4.05,5.65,1.6,46,3,male,27
s41015,2,warning,3.3,5.3,2,46,3,male,27
s41016,1,warning,3.65,5.5,1.85,43,6,female,30
s41016,2,warning,3.6,4.8,1.2,43,6,female,30
s41017,1,no warning,3.3,4.65,1.35,43,3,male,28
s41017,2,no warning,3.05,3.85,0.8,43,3,male,28
s41018,1,no warning,4.3,5.5,1.2,31,3,female,36
s41018,2,no warning,3.6,4.3,0.7,31,3,female,36
s41019,1,warning,3.7,3.85,0.15,45,8,male,31
s41019,2,warning,3,3.8,0.8,45,8,male,31
