participantID,field,subject_condition,control,truncated,difference,graphliteracy_sum_rating,dem_ed,dem_gender,dem_age,study
s51001,Quantitative,no warning,4.35,5.15,0.8,45,7,male,27,Study 5. Quantitative
s51002,Quantitative,warning,4.15,4.15,0,47,8,male,28,Study 5. Quantitative
s51003,Quantitative,no warning,3.7,4.4,0.7,51,7,male,27,Study 5. Quantitative
s51004,Quantitative,warning,4.45,4.15,-0.3,47,7,male,30,Study 5. Quantitative
s51005,Quantitative,warning,3.95,3.6,-0.35,47,8,male,32,Study 5. Quantitative
s51006,Quantitative,no warning,3.65,3.9,0.25,39,8,female,28,Study 5. Quantitative
s51007,Quantitative,no warning,4.6,5.05,0.45,46,8,male,25,Study 5. Quantitative
s51008,Quantitative,warning,3.7,3.6,-0.1,55,7,female,24,Study 5. Quantitative
s51009,Quantitative,no warning,3,3.2,0.2,33,7,female,23,Study 5. Quantitative
s51010,Quantitative,warning,3.3,2.5,-0.8,42,8,female,27,Study 5. Quantitative
s51011,Quantitative,warning,4.2,4.7,0.5,43,7,male,24,Study 5. Quantitative
s51012,Quantitative,no warning,3.1,4.55,1.45,40,8,female,28,Study 5. Quantitative
s51013,Quantitative,warning,4.85,5.65,0.8,50,7,female,30,Study 5. Quantitative
s51014,Quantitative,warning,3.1,3.45,0.35,49,7,female,NA,Study 5. Quantitative
s51015,Quantitative,no warning,3.7,4.2,0.5,48,7,female,32,Study 5. Quantitative
s51016,Quantitative,no warning,3.85,3.65,-0.2,45,6,male,30,Study 5. Quantitative
s51017,Quantitative,warning,4.6,5.2,0.6,50,8,male,26,Study 5. Quantitative
s51018,Quantitative,no warning,3.85,4.5,0.65,44,7,female,39,Study 5. Quantitative
s51019,Quantitative,no warning,4.2,5.1,0.9,59,7,female,28,Study 5. Quantitative
s51020,Quantitative,warning,3.75,3.3,-0.45,50,7,female,26,Study 5. Quantitative
s51021,Quantitative,warning,3.95,4.4,0.45,51,8,female,26,Study 5. Quantitative
s51022,Quantitative,no warning,4.2,4.75,0.55,36,7,female,25,Study 5. Quantitative
s51023,Quantitative,warning,4.35,4.75,0.4,52,6,female,24,Study 5. Quantitative
s51024,Quantitative,warning,4.85,4.6,-0.25,42,8,male,39,Study 5. Quantitative
s51025,Quantitative,warning,3.3,2.8,-0.5,47,7,female,32,Study 5. Quantitative
s51026,Quantitative,no warning,2.75,2.8,0.05,55,7,female,29,Study 5. Quantitative
s51027,Quantitative,no warning,3.9,5.35,1.45,60,8,female,24,Study 5. Quantitative
s51028,Quantitative,warning,3.85,4.45,0.6,36,7,female,26,Study 5. Quantitative
s51029,Quantitative,warning,4.05,4.45,0.4,36,6,male,24,Study 5. Quantitative
s51030,Quantitative,no warning,3.35,3.75,0.4,47,6,non-binary,24,Study 5. Quantitative
s51031,Quantitative,no warning,3.65,4.35,0.7,55,8,male,27,Study 5. Quantitative
s51032,Quantitative,warning,3.95,3.95,0,52,7,female,28,Study 5. Quantitative
s51033,Quantitative,no warning,3.5,4.25,0.75,40,7,female,25,Study 5. Quantitative
