"graphcode","Graph.Title","Y.axis.label","X.axis.label","X.axis.order","Variable","Value","Source"
1,"River Lengths","miles","River","none","Mississippi River",2202,NA
1,"River Lengths","miles","River","none","Yukon River",1979,NA
1,"River Lengths","miles","River","none","Missouri River",2341,NA
2,"Percentage Of Nations From Each Continent In the UN","percentage","Regional Group","none","Africa",28,NA
2,"Percentage Of Nations From Each Continent In the UN","percentage","Regional Group","none","Asia Pacific",27.5,NA
2,"Percentage Of Nations From Each Continent In the UN","percentage","Regional Group","none","The Latin American and Caribbean States",17,NA
3,"How Many Days Each Planet Takes To Orbit The Sun","days","Planet","none","Mercury",87.97,NA
3,"How Many Days Each Planet Takes To Orbit The Sun","days","Planet","none","Venus",224.7,NA
3,"How Many Days Each Planet Takes To Orbit The Sun","days","Planet","none","Earth",365.26,NA
3,"How Many Days Each Planet Takes To Orbit The Sun","days","Planet","none","Mars",686.98,NA
4,"Number Of States That Were Part Of The Union On A Given Year","number of states","Year","ordered","1840",26,NA
4,"Number Of States That Were Part Of The Union On A Given Year","number of states","Year","ordered","1860",33,NA
4,"Number Of States That Were Part Of The Union On A Given Year","number of states","Year","ordered","1880",38,NA
4,"Number Of States That Were Part Of The Union On A Given Year","number of states","Year","ordered","1900",45,NA
5,"Average Salary Grads Make Right Out Of College","average salary in US dollars","Bachelor's Degree Major","none","Engineering",64891,NA
5,"Average Salary Grads Make Right Out Of College","average salary in US dollars","Bachelor's Degree Major","none","Computer Science",61321,NA
5,"Average Salary Grads Make Right Out Of College","average salary in US dollars","Bachelor's Degree Major","none","Healthcare",48712,NA
6,"Time Spent Engaging In Everyday Activities","hours per day","Activity","none","Leisure",5.13,NA
6,"Time Spent Engaging In Everyday Activities","hours per day","Activity","none","Eating",1.12,NA
6,"Time Spent Engaging In Everyday Activities","hours per day","Activity","none","Working",4.6,NA
6,"Time Spent Engaging In Everyday Activities","hours per day","Activity","none","Watching television",2.48,NA
6,"Time Spent Engaging In Everyday Activities","hours per day","Activity","none","Household activities",1.8,NA
7,"Marital Birth Rates In The US","rate per 1000 women","Year","ordered","2011",85.1,NA
7,"Marital Birth Rates In The US","rate per 1000 women","Year","ordered","2012",86,NA
7,"Marital Birth Rates In The US","rate per 1000 women","Year","ordered","2013",86.9,NA
7,"Marital Birth Rates In The US","rate per 1000 women","Year","ordered","2014",88.9,NA
7,"Marital Birth Rates In The US","rate per 1000 women","Year","ordered","2015",89,NA
8,"Gestation Period Of Different Animals","days","Animal","none","Alpaca",345,NA
8,"Gestation Period Of Different Animals","days","Animal","none","Elephant",645,NA
8,"Gestation Period Of Different Animals","days","Animal","none","Bear",215,NA
8,"Gestation Period Of Different Animals","days","Animal","none","Human",270,NA
9,"Animal Weight","weight in kilograms","Animal","none","Cow",800,NA
9,"Animal Weight","weight in kilograms","Animal","none","Brown Bear",482,NA
9,"Animal Weight","weight in kilograms","Animal","none","Moose",620,NA
9,"Animal Weight","weight in kilograms","Animal","none","Giraffe",900,NA
10,"Airport Runway Lengths","feet","Airport","none","Singapore (SIN)",13123,NA
10,"Airport Runway Lengths","feet","Airport","none","Chicago (ORD)",13000,NA
10,"Airport Runway Lengths","feet","Airport","none","Paris (CDG)",13829,NA
11,"Post Presidency Life-Span","days","President","none","Thomas Jefferson",6331,NA
11,"Post Presidency Life-Span","days","President","none","Richard Nixon",7196,NA
11,"Post Presidency Life-Span","days","President","none","Lyndon B. Johnson",1463,NA
11,"Post Presidency Life-Span","days","President","none","Theodore Roosevelt",3595,NA
12,"Cremations As A Percentage Of All Deaths","percentage","countries","none","Japan",100,"massviz targets"
12,"Cremations As A Percentage Of All Deaths","percentage","countries","none","China",48,"massviz targets"
12,"Cremations As A Percentage Of All Deaths","percentage","countries","none","Peru",63,"massviz targets"
12,"Cremations As A Percentage Of All Deaths","percentage","countries","none","Britain",75,"massviz targets"
12,"Cremations As A Percentage Of All Deaths","percentage","countries","none","Russia",37,"massviz targets"
13,"Cigarette Use: Percentage Of Women Who Smoke Daily","percentage","countries","none","Russia",55,"massviz targets"
13,"Cigarette Use: Percentage Of Women Who Smoke Daily","percentage","countries","none","China",43,"massviz targets"
13,"Cigarette Use: Percentage Of Women Who Smoke Daily","percentage","countries","none","Turkey",42,"massviz targets"
