graphcode,Graph.Title,Y.axis.label,X.axis.label,X.axis.order,Variable,Value,Source
1,River Lengths,miles,River,none,Mississippi River,2202,NA
1,River Lengths,miles,River,none,Yukon River,1979,NA
2,Percentage Of Nations From Each Continent In the UN,percentage,Regional Group,none,Africa,28,NA
2,Percentage Of Nations From Each Continent In the UN,percentage,Regional Group,none,The Latin American and Caribbean States,17,NA
3,How Many Days Each Planet Takes To Orbit The Sun,days,Planet,none,Earth,365.26,NA
3,How Many Days Each Planet Takes To Orbit The Sun,days,Planet,none,Venus,224.7,NA
4,Number Of States That Were Part Of The Union On A Given Year,number of states,Year,ordered,1880,38,NA
4,Number Of States That Were Part Of The Union On A Given Year,number of states,Year,ordered,1860,33,NA
5,Average Salary Grads Make Right Out Of College,average salary in US dollars,Bachelor's Degree Major,none,Healthcare,48712,NA
5,Average Salary Grads Make Right Out Of College,average salary in US dollars,Bachelor's Degree Major,none,Social Sciences,34891,NA
6,Time Spent Engaging In Everyday Activities,hours per day,Activity,none,Watching television,2.48,NA
6,Time Spent Engaging In Everyday Activities,hours per day,Activity,none,Household activities,1.8,NA
7,Marital Birth Rates In The US,rate per 1000 women,Year,ordered,2014,88.9,NA
7,Marital Birth Rates In The US,rate per 1000 women,Year,ordered,2012,86,NA
8,Gestation Period Of Different Animals,days,Animal,none,Elephant,645,NA
8,Gestation Period Of Different Animals,days,Animal,none,Human,270,NA
9,Animal Weight,weight in kilograms,Animal,none,Brown Bear,482,NA
9,Animal Weight,weight in kilograms,Animal,none,Cow,800,NA
10,Airport Runway Lengths,feet,Airport,none,Nuremberg (NUE),8858,NA
10,Airport Runway Lengths,feet,Airport,none,Chicago (ORD),13000,NA
11,Post Presidency Life-Span,days,President,none,Thomas Jefferson,6331,NA
11,Post Presidency Life-Span,days,President,none,Richard Nixon,7196,NA
12,Cremations As A Percentage Of All Deaths,percentage,countries,none,Peru,63,massviz targets
12,Cremations As A Percentage Of All Deaths,percentage,countries,none,Britain,75,massviz targets
13,Cigarette Use: Percentage Of Women Who Smoke Daily,percentage,countries,none,Russia,55,massviz targets
13,Cigarette Use: Percentage Of Women Who Smoke Daily,percentage,countries,none,Turkey,42,massviz targets
14,Theme Park Attendance Worldwide,millions of people,theme park,none,Disneyland,15.5,massviz targets
14,Theme Park Attendance Worldwide,millions of people,theme park,none,Tokyo Disneyland,14,massviz targets
15,Cost Of Sending Domestic Mail,price in US dollars,Service Title,none,Ground Return Service,5.95,https://www.usps.com/business/prices.htm
15,Cost Of Sending Domestic Mail,price in US dollars,Service Title,none,Parcel Select,2.74,https://www.usps.com/business/prices.htm
16,Deceased Organ Donor Rates Per Million Population,donors per million population,countries,none,Portugal,30,massviz targets
16,Deceased Organ Donor Rates Per Million Population,donors per million population,countries,none,United States,25,massviz targets
17,Language Diversity,Greenberg's Diversity Index,countries,none,India,0.95,massviz targets
17,Language Diversity,Greenberg's Diversity Index,countries,none,Papua New Guinea,0.98,massviz targets
18,Language Diversity,number of indigenous languages spoken,countries,none,Congo,215,massviz targets
18,Language Diversity,number of indigenous languages spoken,countries,none,Brazil,181,massviz targets
19,Chinese Outside Of Mainland China,millions of Chinese,countries,none,United States,3.46,massviz targets
19,Chinese Outside Of Mainland China,millions of Chinese,countries,none,Indonesia,7.67,massviz targets
20,Price of Book Titles Sold At Auction,millions of dollars,book,none,Les Liliacees by Pierre-Joseph Redoute,10.2,massviz targets
20,Price of Book Titles Sold At Auction,millions of dollars,book,none,First Folio by William Shakespeare,6.4,massviz targets
21,Brazil's Agriculture,percentage of world share,Production of product,none,Orange juice,56,massviz targets
21,Brazil's Agriculture,percentage of world share,Production of product,none,Soybeans,27,massviz targets
22,Mandatory Employment Leave,number of calendar days,countries,none,Australia,28,massviz targets
22,Mandatory Employment Leave,number of calendar days,countries,none,United Kingdom,29,massviz targets
23,Earnings By Education Level,mean earnings,level of education completed,none,Bachelor's Degree,71552,massviz targets
23,Earnings By Education Level,mean earnings,level of education completed,none,Professional Degree,121212,massviz targets
24,Disease Fatality Rates,fatality rate,disease,none,HIV (untreated),85,massviz targets
24,Disease Fatality Rates,fatality rate,disease,none,Bird Flu,60,massviz targets
25,Percentage Of People Who Commute By Bike,percentage,city,none,Portland,3.9,massviz targets
25,Percentage Of People Who Commute By Bike,percentage,city,none,San Francisco,2.5,massviz targets
