"number_of_graphs","max","min","difference","percentage_change","GDI","RGD"
1,2341,1979,362,0.182920667003537,500,0.773173857325929
2,27.5,17,10.5,0.617647058823529,500,1.90909090909091
3,686.98,224.7,462.28,2.05732087227414,500,3.36458121051559
4,45,26,19,0.730769230769231,500,2.11111111111111
5,64891,61321,3570,0.0582182286655469,500,0.275076667026244
6,5.13,1.12,4.01,3.58035714285714,500,3.9083820662768
7,88.9,86,2.90000000000001,0.0337209302325582,500,0.16310461192351
8,645,345,300,0.869565217391304,500,2.32558139534884
9,620,482,138,0.286307053941909,500,1.11290322580645
10,13829,13000,829,0.0637692307692308,500,0.299732446308482
11,7196,3595,3601,1.00166898470097,500,2.5020844913841
12,75,63,12,0.19047619047619,500,0.8
13,55,42,13,0.30952380952381,500,1.18181818181818
14,15.5,14,1.5,0.107142857142857,500,0.483870967741935
15,6.52,5.95,0.569999999999999,0.095798319327731,500,0.437116564417178
16,32,16,16,1,500,2.5
17,0.95,0.87,0.08,0.0919540229885057,500,0.421052631578947
18,291,215,76,0.353488372093023,500,1.30584192439863
19,7.67,3.46,4.21,1.21676300578035,500,2.74445893089961
20,10.3,6.4,3.9,0.609375,500,1.89320388349515
21,56,27,29,1.07407407407407,500,2.58928571428571
22,42,30,12,0.4,500,1.42857142857143
23,121212,102648,18564,0.180851063829787,500,0.765765765765766
24,85,20,65,3.25,500,3.82352941176471
25,3.8,2.5,1.3,0.52,500,1.71052631578947
26,29035,19340,9695,0.50129265770424,500,1.6695367659721
27,4,2.5,1.5,0.6,500,1.875
28,8.4,6.1,2.3,0.377049180327869,500,1.36904761904762
29,94,90,4,0.0444444444444444,500,0.212765957446809
30,13,10,3,0.3,500,1.15384615384615
31,87.8,57.3,30.5,0.532286212914485,500,1.7369020501139
32,16.6,8.2,8.4,1.02439024390244,500,2.53012048192771
33,43,36,7,0.194444444444444,500,0.813953488372093
34,5.8,5.5,0.3,0.0545454545454545,500,0.258620689655172
35,2.7,2.5,0.2,0.0800000000000001,500,0.370370370370371
36,800,580,220,0.379310344827586,500,1.375
37,760,600,160,0.266666666666667,500,1.05263157894737
38,17.7,16.5,1.2,0.0727272727272727,500,0.338983050847458
