participantID,condition,group,question,rating
s11001,control,A,1,4
s11001,truncated,A,2,7
s11001,control,A,3,2
s11001,truncated,A,4,7
s11001,control,A,5,7
s11001,truncated,A,6,4
s11001,control,A,7,4
s11001,truncated,A,8,7
s11001,control,A,9,6
s11001,truncated,A,10,4
s11001,control,A,11,4
s11001,truncated,A,12,7
s11001,control,A,13,7
s11001,truncated,A,14,7
s11001,control,A,15,6
s11001,truncated,A,16,7
s11001,control,A,17,4
s11001,truncated,A,18,4
s11001,control,A,19,7
s11001,truncated,A,20,6
s11001,control,A,21,5
s11001,truncated,A,22,4
s11001,control,A,23,7
s11001,truncated,A,24,4
s11001,control,A,25,7
s11001,truncated,A,26,7
s11001,control,A,27,2
s11001,truncated,A,28,7
s11001,control,A,29,7
s11001,truncated,A,30,6
s11001,control,A,31,6
s11001,truncated,A,32,7
s11001,control,A,33,6
s11001,truncated,A,34,7
s11001,control,A,35,6
s11001,truncated,A,36,5
s11001,control,A,37,2
s11001,truncated,A,38,7
s11001,control,A,39,1
s11001,truncated,A,40,6
s11002,control,A,1,3
s11002,truncated,A,2,5
s11002,control,A,3,1
s11002,truncated,A,4,6
s11002,control,A,5,5
s11002,truncated,A,6,4
s11002,control,A,7,5
s11002,truncated,A,8,5
s11002,control,A,9,4
s11002,truncated,A,10,2
s11002,control,A,11,2
s11002,truncated,A,12,6
s11002,control,A,13,3
s11002,truncated,A,14,7
s11002,control,A,15,6
s11002,truncated,A,16,7
s11002,control,A,17,2
s11002,truncated,A,18,4
s11002,control,A,19,5
s11002,truncated,A,20,6
s11002,control,A,21,3
s11002,truncated,A,22,3
s11002,control,A,23,7
s11002,truncated,A,24,3
s11002,control,A,25,6
s11002,truncated,A,26,6
s11002,control,A,27,2
s11002,truncated,A,28,6
s11002,control,A,29,7
s11002,truncated,A,30,4
s11002,control,A,31,5
s11002,truncated,A,32,7
s11002,control,A,33,4
s11002,truncated,A,34,6
s11002,control,A,35,4
s11002,truncated,A,36,4
s11002,control,A,37,3
s11002,truncated,A,38,7
s11002,control,A,39,1
s11002,truncated,A,40,3
s11003,truncated,B,1,5
s11003,control,B,2,3
s11003,truncated,B,3,3
s11003,control,B,4,3
s11003,truncated,B,5,6
s11003,control,B,6,3
s11003,truncated,B,7,6
s11003,control,B,8,3
s11003,truncated,B,9,4
s11003,control,B,10,2
s11003,truncated,B,11,4
s11003,control,B,12,4
