participantID,group,DB_approach_select,DB_approach_other,DB_misleading_estimate,DB_w_approach,DB_approach_select_1,DB_approach_select_2,DB_approach_select_3,DB_approach_select_4,DB_approach_select_5,DB_approach_select_6
s21001,B,2,NA,50,NA,0,1,0,0,0,0
s21002,A,12,NA,60,focus on the number difference not the visual,1,1,0,0,0,0
s21003,B,1,NA,51,NA,1,0,0,0,0,0
s21004,B,5,NA,44,just went with my gut instinct,0,0,0,0,1,0
s21005,B,12,NA,51,I looked at how far away the numbers were on the Y axis and made an estimate,1,1,0,0,0,0
s21006,B,124,NA,50,I looked first at the axis to see how the numbers were spaced and then I looked at the 2 variables being compared and compared them to each other and the other data on the chart.,1,1,0,1,0,0
s21007,B,12,NA,70,I looked at the numbers more carefully and inferred whether there was a large difference between the two data sets.,1,1,0,0,0,0
s21008,B,14,NA,41,NA,1,0,0,1,0,0
s21009,A,13,NA,71,I had to really look at the numbers versus what the graph was showing,1,0,1,0,0,0
s21010,A,12,NA,60,I paid more attention to the values on the x axis and tried to think of the values in terms of percents or increments of a whole.,1,1,0,0,0,0
s21011,B,123,NA,50,NA,1,1,1,0,0,0
s21012,A,1,NA,65,I had to consider the difference between the actual numbers rather just the visual representation shown on the graph.,1,0,0,0,0,0
s21013,A,1,NA,60,"I double checked the values to see exactly what each was, and then compared the two to see how big (or small) the difference actually was.",1,0,0,0,0,0
s21014,A,12,NA,20,Carefully examine each graph although I feel I may have missed some.,1,1,0,0,0,0
s21015,B,1,NA,33,I think about the numbers and compare that rather than the size of the bars.,1,0,0,0,0,0
s21016,B,12,NA,15,Use the data on the Y-axis,1,1,0,0,0,0
s21017,A,1,NA,30,Looked at how much the actual amount was since it didnt start with 0.,1,0,0,0,0,0
s21018,B,1,NA,51,If it didn't start with a zero,1,0,0,0,0,0
s21019,A,12,NA,39,i looked for a large or small in percentages,1,1,0,0,0,0
s21020,A,1,NA,50,"I looked at the Y Axis numbers and saw where it started, how different the numbers were in value, like 1.2 and 1.4 aren't all that different but the bars are vastly different sizes because of the scaling of them.",1,0,0,0,0,0
s21021,A,1,NA,35,"I tried to only determine on the Y axis legend and whether it represented single numbers, millions, billions, etc... Then I took the two numbers that I was comparing from the bars and adjusted their difference importance based on the Y axis legend.",1,0,0,0,0,0
s21022,A,12,NA,30,I didn't look at the numbers really. I just concentrated on the bar lengths themselves.,1,1,0,0,0,0
s21023,B,1,NA,67,"I looked at the y-axis and what the numbers were saying, then I tried to figure out about where the bars were falling on that axis to see how far the numbers really were.",1,0,0,0,0,0
s21024,A,14,NA,40,just tried to make the best judgement with what information i was given.,1,0,0,1,0,0
s21025,A,24,NA,49,I tried to look at the difference taking into account that the graph was starting off with a misleading information,0,1,0,1,0,0
s21026,B,124,NA,80,I compared the numbers to see how far apart they were.,1,1,0,1,0,0
s21027,A,1,NA,60,I just tried to compare actual values to determine estimate of difference i.e. the bars were close in length but the scale was large so the difference was in billions then I would put that they were quite different.,1,0,0,0,0,0
s21028,B,12,NA,40,"I compared the true values, often by considering what multiple one was of another to determine rough percentage difference between the two.",1,1,0,0,0,0
s21029,B,24,NA,20,I usually tried to underestimate the difference to compensate for the deception.,0,1,0,1,0,0
s21030,A,1,NA,31,Nothing,1,0,0,0,0,0
s21031,A,24,NA,40,I guess I'd just judge them to be not similar. I don't fully understand the question.,0,1,0,1,0,0
s21032,A,3,NA,57,0,0,0,1,0,0,0
s21033,B,2,NA,52,NA,0,1,0,0,0,0
s21034,B,2,NA,40,Do my best to decide if the difference in numbers is great or not.,0,1,0,0,0,0
s21035,A,1,NA,61,"I had to do more math in my mind to figure true difference, I also had to take the units into account more.",1,0,0,0,0,0
s21036,A,12,NA,35,"Numbers are easy to be understood, I focused on them, and I would be surprised and almost ashamed if I got any graph wrong for more than a couple step (but I think I've been mostly not more than 1 step away).",1,1,0,0,0,0
s21037,B,24,NA,32,use the instructions provided,0,1,0,1,0,0
s21038,A,12,NA,56,I would visualize and look at the axis number,1,1,0,0,0,0
s21039,B,12,NA,93,"Based on the instructions given at beginning of the survey,I decided my approaches",1,1,0,0,0,0
s21040,A,123,NA,40,i looked closely at the measurement- y axis,1,1,1,0,0,0
s21041,B,12,NA,78,I looked at the range that the graph represented.,1,1,0,0,0,0
s21042,B,1,NA,62,"My approach was to look at the values that the bars represented, and not the size of the bar in relation to others in the graph. This gave me a more solid foundation with which to evaluate the true similarity/difference between two bars.",1,0,0,0,0,0
s21043,A,12,NA,40,I tried to mentally determine an approximate percentage difference and based my answers on that.  I did that with the non-misleading graphs as well.,1,1,0,0,0,0
s21044,B,1,NA,63,"I approached them all the same, in each one I tried to understand the values on the y-axis and then proceeded.",1,0,0,0,0,0
s21045,A,1,NA,40,"I tried to imagine the entire scale on all of the graphs, regardless of the segment illustrated in the misleading graphs.",1,0,0,0,0,0
s21046,A,124,NA,30,I would think about the increments of the numbers on the y axis and how the graphs would look if it started at zero and think about how different the numbers actually were.,1,1,0,1,0,0
s21047,A,15,NA,20,I read all the info presented and then tried to decide on my approach,1,0,0,0,1,0
s21048,B,15,NA,80,Just looked at the ranges on the Y axis and what those represented then judged how big of a difference the two results I were comparing really were in proportion to the Y axis and how that data set as a whole would be spread out,1,0,0,0,1,0
