participantID,group,duration,duration_min,dem_age,dem_gender,dem_ed,dem_language,check,dem_browser_Browser,dem_browser_Version,dem_browser_Operating System,dem_browser_Resolution,dem_ed_4_TEXT,dem_language_2_TEXT
s21001,B,659,10.983333333333333,33,male,6,1,right,Firefox,57.0,Macintosh,2560x1440,NA,NA
s21002,A,1827,30.45,39,male,6,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1366x768,NA,NA
s21003,B,446,7.433333333333334,30,male,6,1,right,Chrome,62.0.3202.94,Windows NT 6.1,1920x1080,NA,NA
s21004,B,226,3.7666666666666666,26,male,3,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1920x1080,NA,NA
s21005,B,585,9.75,36,female,6,1,right,Chrome,62.0.3202.94,Windows NT 6.1,1680x1050,NA,NA
s21006,B,545,9.083333333333334,27,female,7,1,right,Safari,11.0.1,Macintosh,1280x800,NA,NA
s21007,B,647,10.783333333333333,31,male,5,1,right,Chrome,62.0.3202.94,Windows NT 6.1,1920x1080,NA,NA
s21008,B,626,10.433333333333334,33,male,6,2,right,Firefox,58.0,Windows NT 10.0,1920x1080,NA,chinese
s21009,A,710,11.833333333333334,35,female,6,1,right,Safari iPhone,11.0,iPhone,375x667,NA,NA
s21010,A,802,13.366666666666667,53,female,6,1,right,Chrome,62.0.3202.94,Macintosh,1920x1080,NA,NA
s21011,B,767,12.783333333333333,26,male,6,1,right,Chrome,63.0.3239.84,Windows NT 6.1,1024x768,NA,NA
s21012,A,864,14.4,41,male,2,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1440x900,NA,NA
s21013,A,785,13.083333333333334,41,female,6,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1366x768,NA,NA
s21014,A,4614,76.9,31,male,6,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1536x864,NA,NA
s21015,B,961,16.016666666666666,27,female,6,1,right,Firefox,54.0,Macintosh,1280x800,NA,NA
s21016,B,830,13.833333333333334,29,male,5,1,right,Firefox,38.0,Windows NT 6.1,1280x1024,NA,NA
s21017,A,557,9.283333333333333,61,female,2,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1920x1080,NA,NA
s21018,B,544,9.066666666666666,52,female,3,1,right,Chrome,62.0.3202.94,Windows NT 6.3,1366x768,NA,NA
s21019,A,1092,18.2,75,male,2,1,right,Firefox,57.0,Windows NT 10.0,1088x612,NA,NA
s21020,A,851,14.183333333333334,25,male,3,1,right,Chrome,63.0.3239.84,Windows NT 6.1,1920x1080,NA,NA
s21021,A,1116,18.6,40,male,3,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1920x1200,NA,NA
s21022,A,1097,18.283333333333335,43,female,5,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1366x768,NA,NA
s21023,B,767,12.783333333333333,40,female,6,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1600x900,NA,NA
s21024,A,748,12.466666666666667,45,female,5,1,right,Chrome,63.0.3239.84,Windows NT 10.0,1536x864,NA,NA
s21025,A,1238,20.633333333333333,62,female,2,1,right,Firefox,57.0,Windows NT 10.0,1360x768,NA,NA
s21026,B,862,14.366666666666667,32,female,2,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1680x1050,NA,NA
s21027,A,1268,21.133333333333333,59,male,3,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1920x1080,NA,NA
s21028,B,965,16.083333333333332,35,female,6,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1680x1050,NA,NA
s21029,B,1417,23.616666666666667,32,male,6,1,right,Firefox,52.0,Windows NT 6.0,1280x800,NA,NA
s21030,A,337,5.616666666666666,24,male,3,1,right,Chrome,63.0.3239.84,Windows NT 6.3,1364x768,NA,NA
s21031,A,1456,24.266666666666666,27,male,8,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1920x1080,NA,NA
s21032,A,1632,27.2,26,male,7,1,wrong,Chrome,63.0.3239.84,Windows NT 10.0,2560x1440,NA,NA
s21033,B,384,6.4,24,male,6,1,right,Chrome,62.0.3202.94,Macintosh,1280x800,NA,NA
s21034,B,1361,22.683333333333334,31,female,6,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1366x768,NA,NA
s21035,A,1540,25.666666666666668,38,female,8,1,right,Chrome,62.0.3202.94,Macintosh,1920x1200,NA,NA
s21036,A,934,15.566666666666666,38,male,3,2,right,Chrome,62.0.3202.94,Windows NT 10.0,1920x1080,NA,Italian
s21037,B,1171,19.516666666666666,25,male,3,1,right,Chrome,63.0.3239.84,Macintosh,1680x1050,NA,NA
s21038,A,394,6.566666666666666,23,male,6,1,wrong,Chrome,62.0.3202.94,Macintosh,1440x900,NA,NA
s21039,B,1744,29.066666666666666,32,male,6,1,right,Chrome,62.0.3202.94,Windows NT 6.3,1280x720,NA,NA
s21040,A,1740,29,36,female,3,1,wrong,Chrome,63.0.3239.84,Windows NT 10.0,1024x768,NA,NA
s21041,B,1029,17.15,41,male,5,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1680x1050,NA,NA
s21042,B,1887,31.45,40,male,6,1,right,Firefox,57.0,Windows NT 6.1,1366x768,NA,NA
s21043,A,1147,19.116666666666667,59,male,8,1,wrong,Chrome,62.0.3202.94,Windows NT 10.0,1536x864,NA,NA
s21044,B,1798,29.966666666666665,31,female,6,1,wrong,Chrome,62.0.3202.94,Macintosh,1440x900,NA,NA
s21045,A,656,10.933333333333334,22,male,2,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1920x1080,NA,NA
s21046,A,702,11.7,29,female,6,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1842x1036,NA,NA
s21047,A,558,9.3,21,male,3,1,right,Chrome,63.0.3239.84,Windows NT 10.0,1920x1080,NA,NA
s21048,B,672,11.2,38,male,8,1,right,Chrome,62.0.3202.94,Windows NT 10.0,1920x1080,NA,NA
s21049,A,1783,29.716666666666665,42,male,3,1,right,Chrome,63.0.3239.84,Windows NT 10.0,1440x900,NA,NA
s21050,B,1751,29.183333333333334,29,female,3,1,right,Chrome,49.0.2623.112,Windows NT 5.1,1024x768,NA,NA
s21051,B,780,13,22,male,3,1,right,Chrome,63.0.3239.84,Macintosh,1440x900,NA,NA
s21052,B,455,7.583333333333333,30,male,6,1,right,Chrome,62.0.3202.94,Windows NT 6.3,1364x768,NA,NA
