participantID,condition,group,question,rating,check
s21001,truncated,B,1,5,right
s21001,control,B,2,5,right
s21001,truncated,B,3,4,right
s21001,control,B,4,5,right
s21001,truncated,B,5,7,right
s21001,control,B,6,3,right
s21001,truncated,B,7,4,right
s21001,control,B,8,2,right
s21001,truncated,B,9,4,right
s21001,control,B,10,1,right
s21001,truncated,B,11,7,right
s21001,control,B,12,4,right
s21001,truncated,B,13,6,right
s21001,control,B,14,4,right
s21001,truncated,B,15,5,right
s21001,control,B,16,4,right
s21001,truncated,B,17,7,right
s21001,control,B,18,1,right
s21001,truncated,B,19,6,right
s21001,control,B,20,5,right
s21001,truncated,B,21,7,right
s21001,control,B,22,4,right
s21001,truncated,B,23,7,right
s21001,control,B,24,7,right
s21001,truncated,B,25,6,right
s21001,control,B,26,4,right
s21001,truncated,B,27,5,right
s21001,control,B,28,3,right
s21001,truncated,B,29,5,right
s21001,control,B,30,3,right
s21001,truncated,B,31,6,right
s21001,control,B,32,5,right
s21001,truncated,B,33,4,right
s21001,control,B,34,2,right
s21001,truncated,B,35,4,right
s21001,control,B,36,2,right
s21001,truncated,B,37,5,right
s21001,control,B,38,7,right
s21001,truncated,B,39,1,right
s21001,control,B,40,3,right
s21002,control,A,1,2,right
s21002,truncated,A,2,4,right
s21002,control,A,3,1,right
s21002,truncated,A,4,5,right
s21002,control,A,5,5,right
s21002,truncated,A,6,4,right
s21002,control,A,7,3,right
s21002,truncated,A,8,4,right
s21002,control,A,9,3,right
s21002,truncated,A,10,2,right
s21002,control,A,11,3,right
s21002,truncated,A,12,4,right
s21002,control,A,13,5,right
s21002,truncated,A,14,4,right
s21002,control,A,15,5,right
s21002,truncated,A,16,2,right
s21002,control,A,17,2,right
s21002,truncated,A,18,2,right
s21002,control,A,19,6,right
s21002,truncated,A,20,2,right
s21002,control,A,21,2,right
s21002,truncated,A,22,2,right
s21002,control,A,23,5,right
s21002,truncated,A,24,2,right
s21002,control,A,25,3,right
s21002,truncated,A,26,4,right
s21002,control,A,27,1,right
s21002,truncated,A,28,2,right
s21002,control,A,29,5,right
s21002,truncated,A,30,2,right
s21002,control,A,31,3,right
s21002,truncated,A,32,4,right
s21002,control,A,33,2,right
s21002,truncated,A,34,5,right
s21002,control,A,35,2,right
s21002,truncated,A,36,2,right
s21002,control,A,37,3,right
s21002,truncated,A,38,6,right
s21002,control,A,39,1,right
s21002,truncated,A,40,2,right
s21003,truncated,B,1,3,right
s21003,control,B,2,5,right
s21003,truncated,B,3,2,right
s21003,control,B,4,6,right
s21003,truncated,B,5,7,right
s21003,control,B,6,4,right
s21003,truncated,B,7,5,right
s21003,control,B,8,4,right
s21003,truncated,B,9,4,right
s21003,control,B,10,1,right
s21003,truncated,B,11,3,right
s21003,control,B,12,6,right
s21003,truncated,B,13,7,right
s21003,control,B,14,7,right
s21003,truncated,B,15,7,right
s21003,control,B,16,4,right
s21003,truncated,B,17,3,right
s21003,control,B,18,1,right
s21003,truncated,B,19,7,right
s21003,control,B,20,6,right
s21003,truncated,B,21,4,right
s21003,control,B,22,5,right
s21003,truncated,B,23,7,right
s21003,control,B,24,3,right
s21003,truncated,B,25,5,right
s21003,control,B,26,4,right
s21003,truncated,B,27,4,right
s21003,control,B,28,6,right
s21003,truncated,B,29,7,right
s21003,control,B,30,3,right
s21003,truncated,B,31,6,right
s21003,control,B,32,7,right
s21003,truncated,B,33,4,right
s21003,control,B,34,2,right
s21003,truncated,B,35,5,right
s21003,control,B,36,1,right
s21003,truncated,B,37,3,right
s21003,control,B,38,7,right
s21003,truncated,B,39,1,right
s21003,control,B,40,4,right
s21004,truncated,B,1,5,right
s21004,control,B,2,4,right
s21004,truncated,B,3,4,right
s21004,control,B,4,2,right
s21004,truncated,B,5,3,right
s21004,control,B,6,2,right
s21004,truncated,B,7,3,right
s21004,control,B,8,4,right
s21004,truncated,B,9,4,right
s21004,control,B,10,4,right
s21004,truncated,B,11,3,right
s21004,control,B,12,2,right
s21004,truncated,B,13,4,right
s21004,control,B,14,5,right
s21004,truncated,B,15,3,right
s21004,control,B,16,4,right
s21004,truncated,B,17,5,right
s21004,control,B,18,5,right
s21004,truncated,B,19,5,right
s21004,control,B,20,5,right
s21004,truncated,B,21,2,right
s21004,control,B,22,5,right
s21004,truncated,B,23,3,right
s21004,control,B,24,4,right
s21004,truncated,B,25,4,right
s21004,control,B,26,3,right
s21004,truncated,B,27,2,right
s21004,control,B,28,4,right
s21004,truncated,B,29,3,right
s21004,control,B,30,6,right
s21004,truncated,B,31,4,right
s21004,control,B,32,5,right
s21004,truncated,B,33,5,right
s21004,control,B,34,4,right
s21004,truncated,B,35,3,right
s21004,control,B,36,3,right
s21004,truncated,B,37,4,right
s21004,control,B,38,3,right
s21004,truncated,B,39,4,right
s21004,control,B,40,5,right
s21005,truncated,B,1,2,right
s21005,control,B,2,3,right
s21005,truncated,B,3,3,right
s21005,control,B,4,4,right
s21005,truncated,B,5,4,right
s21005,control,B,6,3,right
s21005,truncated,B,7,4,right
s21005,control,B,8,2,right
s21005,truncated,B,9,3,right
s21005,control,B,10,2,right
s21005,truncated,B,11,3,right
s21005,control,B,12,3,right
s21005,truncated,B,13,3,right
s21005,control,B,14,6,right
s21005,truncated,B,15,4,right
s21005,control,B,16,2,right
s21005,truncated,B,17,2,right
s21005,control,B,18,2,right
s21005,truncated,B,19,4,right
s21005,control,B,20,4,right
s21005,truncated,B,21,2,right
s21005,control,B,22,2,right
s21005,truncated,B,23,5,right
s21005,control,B,24,2,right
s21005,truncated,B,25,3,right
s21005,control,B,26,3,right
s21005,truncated,B,27,2,right
s21005,control,B,28,3,right
s21005,truncated,B,29,4,right
s21005,control,B,30,2,right
s21005,truncated,B,31,4,right
s21005,control,B,32,4,right
s21005,truncated,B,33,4,right
s21005,control,B,34,2,right
s21005,truncated,B,35,2,right
s21005,control,B,36,2,right
s21005,truncated,B,37,3,right
s21005,control,B,38,3,right
s21005,truncated,B,39,2,right
s21005,control,B,40,2,right
s21006,truncated,B,1,5,right
s21006,control,B,2,5,right
s21006,truncated,B,3,3,right
s21006,control,B,4,5,right
s21006,truncated,B,5,5,right
s21006,control,B,6,3,right
s21006,truncated,B,7,7,right
s21006,control,B,8,3,right
s21006,truncated,B,9,5,right
s21006,control,B,10,5,right
s21006,truncated,B,11,5,right
s21006,control,B,12,5,right
s21006,truncated,B,13,7,right
s21006,control,B,14,7,right
s21006,truncated,B,15,7,right
s21006,control,B,16,5,right
s21006,truncated,B,17,7,right
s21006,control,B,18,1,right
s21006,truncated,B,19,7,right
s21006,control,B,20,4,right
s21006,truncated,B,21,2,right
s21006,control,B,22,2,right
s21006,truncated,B,23,7,right
s21006,control,B,24,2,right
s21006,truncated,B,25,7,right
s21006,control,B,26,5,right
s21006,truncated,B,27,3,right
s21006,control,B,28,4,right
s21006,truncated,B,29,7,right
s21006,control,B,30,2,right
s21006,truncated,B,31,6,right
s21006,control,B,32,7,right
s21006,truncated,B,33,6,right
s21006,control,B,34,4,right
s21006,truncated,B,35,7,right
s21006,control,B,36,3,right
s21006,truncated,B,37,5,right
s21006,control,B,38,6,right
s21006,truncated,B,39,1,right
s21006,control,B,40,2,right
s21007,truncated,B,1,4,right
s21007,control,B,2,4,right
s21007,truncated,B,3,4,right
s21007,control,B,4,5,right
s21007,truncated,B,5,5,right
s21007,control,B,6,3,right
s21007,truncated,B,7,6,right
s21007,control,B,8,3,right
s21007,truncated,B,9,4,right
s21007,control,B,10,2,right
s21007,truncated,B,11,3,right
s21007,control,B,12,5,right
s21007,truncated,B,13,6,right
s21007,control,B,14,7,right
