participantid,session,duration,subject_condition,graph_condition,group,question,time
s41001,1,191,no warning,truncated,2B,1,2.581
s41001,1,191,no warning,control,2B,2,1.936
s41001,1,191,no warning,truncated,2B,3,1.223
s41001,1,191,no warning,control,2B,4,1.621
s41001,1,191,no warning,truncated,2B,5,1.332
s41001,1,191,no warning,control,2B,6,1.644
s41001,1,191,no warning,truncated,2B,7,1.563
s41001,1,191,no warning,control,2B,8,2.497
s41001,1,191,no warning,truncated,2B,9,3.18
s41001,1,191,no warning,control,2B,10,3.565
s41001,1,191,no warning,truncated,2B,11,4.953
s41001,1,191,no warning,control,2B,12,1.768
s41001,1,191,no warning,truncated,2B,13,2.945
s41001,1,191,no warning,control,2B,14,2.682
s41001,1,191,no warning,truncated,2B,15,1.24
s41001,1,191,no warning,control,2B,16,1.818
s41001,1,191,no warning,truncated,2B,17,1.037
s41001,1,191,no warning,control,2B,18,2.386
s41001,1,191,no warning,truncated,2B,19,2.089
s41001,1,191,no warning,control,2B,20,3.066
s41001,1,191,no warning,truncated,2B,21,1.652
s41001,1,191,no warning,control,2B,22,1.097
s41001,1,191,no warning,truncated,2B,23,2.534
s41001,1,191,no warning,control,2B,24,1.801
s41001,1,191,no warning,truncated,2B,25,1.932
s41001,1,191,no warning,control,2B,26,2.064
s41001,1,191,no warning,truncated,2B,27,2.876
s41001,1,191,no warning,control,2B,28,1.099
s41001,1,191,no warning,truncated,2B,29,2.339
s41001,1,191,no warning,control,2B,30,5.004
s41001,1,191,no warning,truncated,2B,31,1.324
s41001,1,191,no warning,control,2B,32,2.288
s41001,1,191,no warning,truncated,2B,33,1.38
s41001,1,191,no warning,control,2B,34,1.496
s41001,1,191,no warning,truncated,2B,35,1.892
s41001,1,191,no warning,control,2B,36,1.69
s41001,1,191,no warning,truncated,2B,37,2.126
s41001,1,191,no warning,control,2B,38,1.122
s41001,1,191,no warning,truncated,2B,39,2.817
s41001,1,191,no warning,control,2B,40,1.088
s41001,2,1829,no warning,control,1A,1,1.431
s41001,2,1829,no warning,truncated,1A,2,8.071
s41001,2,1829,no warning,control,1A,3,1.708
s41001,2,1829,no warning,truncated,1A,4,1.41
s41001,2,1829,no warning,control,1A,5,1.431
s41001,2,1829,no warning,truncated,1A,6,1.406
s41001,2,1829,no warning,control,1A,7,2.162
s41001,2,1829,no warning,truncated,1A,8,1.894
