participantID,group,graphliteracy_question,rating
s21001,B,1,4
s21001,B,2,4
s21001,B,3,5
s21001,B,4,4
s21001,B,5,5
s21001,B,6,4
s21001,B,7,4
s21001,B,8,3
s21001,B,9,4
s21001,B,10,5
s21002,A,1,5
s21002,A,2,4
s21002,A,3,5
s21002,A,4,5
s21002,A,5,5
s21002,A,6,3
s21002,A,7,4
s21002,A,8,5
s21002,A,9,6
s21002,A,10,6
s21003,B,1,6
s21003,B,2,6
s21003,B,3,6
s21003,B,4,6
s21003,B,5,6
s21003,B,6,6
s21003,B,7,5
s21003,B,8,6
s21003,B,9,4
s21003,B,10,5
s21004,B,1,6
s21004,B,2,6
s21004,B,3,6
s21004,B,4,6
s21004,B,5,5
s21004,B,6,5
s21004,B,7,5
s21004,B,8,5
s21004,B,9,5
s21004,B,10,4
s21005,B,1,6
s21005,B,2,6
s21005,B,3,6
s21005,B,4,5
s21005,B,5,5
s21005,B,6,5
s21005,B,7,6
s21005,B,8,5
s21005,B,9,6
s21005,B,10,5
s21006,B,1,5
s21006,B,2,6
s21006,B,3,5
s21006,B,4,5
s21006,B,5,6
s21006,B,6,5
s21006,B,7,6
s21006,B,8,6
s21006,B,9,5
s21006,B,10,5
s21007,B,1,4
s21007,B,2,3
s21007,B,3,5
s21007,B,4,4
s21007,B,5,4
s21007,B,6,4
s21007,B,7,3
s21007,B,8,6
s21007,B,9,6
s21007,B,10,4
s21008,B,1,4
s21008,B,2,4
s21008,B,3,4
s21008,B,4,3
s21008,B,5,3
s21008,B,6,5
s21008,B,7,5
s21008,B,8,5
s21008,B,9,5
s21008,B,10,6
s21009,A,1,5
s21009,A,2,5
s21009,A,3,5
s21009,A,4,5
s21009,A,5,5
s21009,A,6,5
s21009,A,7,5
s21009,A,8,4
s21009,A,9,5
s21009,A,10,5
s21010,A,1,4
s21010,A,2,4
s21010,A,3,4
s21010,A,4,3
s21010,A,5,4
s21010,A,6,2
s21010,A,7,2
s21010,A,8,3
s21010,A,9,2
s21010,A,10,4
s21011,B,1,5
s21011,B,2,6
s21011,B,3,5
s21011,B,4,5
s21011,B,5,6
s21011,B,6,4
s21011,B,7,5
s21011,B,8,6
s21011,B,9,5
s21011,B,10,6
s21012,A,1,2
s21012,A,2,2
s21012,A,3,3
s21012,A,4,2
s21012,A,5,3
s21012,A,6,3
s21012,A,7,2
s21012,A,8,3
s21012,A,9,3
s21012,A,10,3
s21013,A,1,3
s21013,A,2,3
s21013,A,3,4
s21013,A,4,4
s21013,A,5,4
s21013,A,6,3
s21013,A,7,4
s21013,A,8,4
s21013,A,9,4
s21013,A,10,4
s21014,A,1,6
s21014,A,2,6
s21014,A,3,6
s21014,A,4,5
s21014,A,5,6
s21014,A,6,5
s21014,A,7,6
s21014,A,8,4
s21014,A,9,6
s21014,A,10,6
s21015,B,1,3
s21015,B,2,3
s21015,B,3,4
s21015,B,4,4
