participantID,group,duration,condition,question,time
s21001,B,659,truncated,1,2.515
s21001,B,659,control,2,2.507
s21001,B,659,truncated,3,38.366
s21001,B,659,control,4,8.533
s21001,B,659,truncated,5,13.343
s21001,B,659,control,6,9.568
s21001,B,659,truncated,7,7.719
s21001,B,659,control,8,2.615
s21001,B,659,truncated,9,2.501
s21001,B,659,control,10,9.106
s21001,B,659,truncated,11,1.608
s21001,B,659,control,12,44.617
s21001,B,659,truncated,13,3.819
s21001,B,659,control,14,2.518
s21001,B,659,truncated,15,3.757
s21001,B,659,control,16,4.06
s21001,B,659,truncated,17,2.21
s21001,B,659,control,18,3.064
s21001,B,659,truncated,19,6.334
s21001,B,659,control,20,28.019
s21001,B,659,truncated,21,2.562
s21001,B,659,control,22,3.557
s21001,B,659,truncated,23,2.719
s21001,B,659,control,24,5.905
s21001,B,659,truncated,25,11.547
s21001,B,659,control,26,11.711
s21001,B,659,truncated,27,6.411
s21001,B,659,control,28,21.744
s21001,B,659,truncated,29,4.177
s21001,B,659,control,30,58.412
s21001,B,659,truncated,31,22.187
s21001,B,659,control,32,2.073
s21001,B,659,truncated,33,24.262
s21001,B,659,control,34,4.691
s21001,B,659,truncated,35,1.861
s21001,B,659,control,36,4.672
s21001,B,659,truncated,37,3.322
s21001,B,659,control,38,5.149
s21001,B,659,truncated,39,2.373
s21001,B,659,control,40,3.397
s21002,A,1827,control,1,4.344
s21002,A,1827,truncated,2,7.091
s21002,A,1827,control,3,3.853
s21002,A,1827,truncated,4,6.569
s21002,A,1827,control,5,6.311
s21002,A,1827,truncated,6,4.919
s21002,A,1827,control,7,5.858
s21002,A,1827,truncated,8,6.231
s21002,A,1827,control,9,3.984
s21002,A,1827,truncated,10,3.509
s21002,A,1827,control,11,5.854
s21002,A,1827,truncated,12,6.552
s21002,A,1827,control,13,6.801
s21002,A,1827,truncated,14,8.728
s21002,A,1827,control,15,9.252
s21002,A,1827,truncated,16,5.837
s21002,A,1827,control,17,7.531
s21002,A,1827,truncated,18,12.815
s21002,A,1827,control,19,6.463
s21002,A,1827,truncated,20,8.079
s21002,A,1827,control,21,11.295
s21002,A,1827,truncated,22,7.924
s21002,A,1827,control,23,10.114
s21002,A,1827,truncated,24,39.352
s21002,A,1827,control,25,5.858
s21002,A,1827,truncated,26,5.602
s21002,A,1827,control,27,5.744
s21002,A,1827,truncated,28,5.485
s21002,A,1827,control,29,21.202
s21002,A,1827,truncated,30,4.202
s21002,A,1827,control,31,6.705
s21002,A,1827,truncated,32,4.451
s21002,A,1827,control,33,5.352
s21002,A,1827,truncated,34,14.236
s21002,A,1827,control,35,6.103
