participantID,subject_condition,field,group,duration,check,DB_approach_select,DB_approach_select_1,DB_approach_select_2,DB_approach_select_3,DB_approach_select_4,DB_approach_select_5,DB_approach_select_6,DB_approach_other,DB_w_approach,DB_nw_notice,DB_misleading_estimate,db_misleading_estimate
s51001,no warning,Quantitative,A,1239,NA,12,1,1,0,0,0,0,NA,NA,NA,50,50
s51002,warning,Quantitative,A,1092,right,1,1,0,0,0,0,0,NA,NA,NA,50,50
s51003,no warning,Quantitative,B,742,NA,245,0,1,0,1,1,0,NA,NA,NA,68,68
s51004,warning,Quantitative,B,1634,right,13,1,0,1,0,0,0,NA,"Project mentally the graph on a scale starting from zero, plus re-state the difference in terms of absolute figures",NA,50,50
s51005,warning,Quantitative,A,2218,right,12,1,1,0,0,0,0,NA,NA,NA,50,50
s51006,no warning,Quantitative,A,682,NA,1,1,0,0,0,0,0,NA,NA,"Some of the graphs did not start at the origin (0,0) - for example, some of the y-axis values started at a non-zero value, which initially skewed my perception about how large the differences were between the bars of interest",70,70
s51007,no warning,Quantitative,B,1111,NA,126,1,1,0,0,0,1,Comparing relative and absolute difference. Wishing their were SE marks.,NA,"Not really... Some values were unknown to me (e.g. growth rate... of what?). The comparisons would be easier if there were SE bars. I also noticed that the graphs differed regarding comparisons (e.g. lowest to highest vs. mid-low to high-low), if there was a bar with a very different height (e.g. comparing two similar bars in the presence of a much larger bar vs. no larger bar present), and if the measure was absolute or relative.",32,32
s51008,warning,Quantitative,A,1010,right,12,1,1,0,0,0,0,NA,"Looking at the scale of the axis (e.g., where is the start point and what is the scale) and the units they were in (e.g., difference between 3 and 4 is judged greater if the unit is billions rather than percentage)",NA,70,70
s51009,no warning,Quantitative,A,1181,NA,1,1,0,0,0,0,0,NA,NA,"The proportion of the graphs were sometimes misleading (i.e., two bars looked vastly different but their numerical difference was small). Graphs were also hard to judge when the numerical difference was depicted in small numbers (i.e., 2 or 3) but the small numbers represented millions.",40,40
s51010,warning,Quantitative,A,1075,right,12,1,1,0,0,0,0,NA,NA,NA,70,70
s51011,warning,Quantitative,B,1607,right,1,1,0,0,0,0,0,NA,"I think it is useful to get the scales straight. To compare two different bars, I try to intuitively approximate the relative difference. If a has value x, and b has value x+5, it is not the same that x= 2 than x=1000. Depending on that, I answer. That's what I usually try to do.",NA,30,30
