participantID,field,subject_condition,group,duration,duration_min,check,dem_age,dem_gender,dem_language,dem_language_other,dem_ed,dem_school,dem_program,dem_year,dem_stat_formal,training_formal,dem_stat_informal,training_informal,dem_stat_workshop,training_workshop,dem_stat_other,training_other,dem_stat_none
s51001,Quantitative,no warning,A,1239,20.65,NA,27,male,2,italian,7,Brown University,4th econ phd,4,0,NA,0,NA,0,NA,0,NA,0
s51002,Quantitative,warning,A,1092,18.2,right,28,male,2,italian,8,Brown University,3rd year PhD Economics,3,1,2 semesters in econometrics,0,NA,1,1 workshop in data visualization,1,daily work with statistics and data visualization,0
s51003,Quantitative,no warning,B,742,12.366666666666667,NA,27,male,2,italian,7,Brown University,3rd year PhD student in Economics,3,1,5 semester in Econometrics and probability,0,NA,1,Conferences at my university,1,RA for my professor,0
s51004,Quantitative,warning,B,1634,27.233333333333334,right,30,male,2,italian,7,Brown University,4th year PhD student in Economics,4,1,I've done 1 undergraduate course in statistics where graphs were involved + 6 courses in econometrics,0,NA,0,NA,0,NA,0
s51005,Quantitative,warning,A,2218,36.96666666666667,right,32,male,2,spanish,8,Brown University,NA,NA,1,Economics grad school,0,NA,0,NA,0,NA,0
s51006,Quantitative,no warning,A,682,11.366666666666667,NA,28,female,1,NA,8,UNC,5th year PhD Student in Clinical Psychology,5,1,statistics minor in undergraduate + 2 semesters of statistics in graduate school,1,"Worked through SPSS, R, and SAS exercises + examples",1,"Took a week-long training in FMRIB's Software Library (FSL) for neuroimaging analyses, which involved some statistics and data visualization",1,Mainly through research - using SPSS (occasionally other programs such as Excel or R),0
s51007,Quantitative,no warning,B,1111,18.516666666666666,NA,25,male,1,NA,8,UNC,4th year PhD student in Cognitive Psychology,4,1,"Took a few semester-long stat sources (MLM, IRT, SEM).",1,TA'd undergrad psych stats for 5 semesters and informally experienced stats/visuals when teaching and grading.,0,NA,0,NA,0
s51008,Quantitative,warning,A,1010,16.833333333333332,right,24,female,1,NA,7,UNC,3rd year PhD student in Psychology & Neuroscience,3,1,4.5 semesters of statistics in graduate school and 1 summer course on graph theory,0,NA,0,NA,0,NA,0
s51009,Quantitative,no warning,A,1181,19.683333333333334,NA,23,female,1,NA,7,UNC,2nd year PhD student in Clinical Psychology,2,1,2 semesters of statistics in graduate school and one summer short-course on statistics,0,NA,1,I took a short course/workshop on statistics and use of SPSS,0,N/A,0
s51010,Quantitative,warning,A,1075,17.916666666666668,right,27,female,1,NA,8,UNC,4th year in PhD program in psychology,4,1,4 semesters of statistics in graduate school,0,NA,0,NA,0,NA,0
s51011,Quantitative,warning,B,1607,26.783333333333335,right,24,male,2,spanish,7,UNC,1st year Ph.D. in statistics.,1,1,3 courses on statistics in college+ 2 project experiences displaying statistical results+ currently taking 3 courses in statistics.,0,NA,1,I worked on a research project analyzing information and displaying it efficiently and accurately.,1,I have read articles regarding the optimal display of data through graphical means.,0
s51012,Quantitative,no warning,B,981,16.35,NA,28,female,1,NA,8,CMU,5th year graduate student,5,1,2 semesters of stats classes,0,NA,1,I took a week long workshop in structural equation modeling and a few days workshop on hierarchical linear modeling,0,I use R code for some stats,0
s51013,Quantitative,warning,B,2754,45.9,wrong,30,female,2,russian,7,UNC,4th year PhD student in Econ,4,1,econometric classes and dissertation workshops,1,worked through presentation skills,1,workshops on data visualization,1,NA,0
s51014,Quantitative,warning,B,847,14.116666666666667,right,NA,female,1,NA,7,UC Berkeley,NA,NA,1,NA,1,NA,1,NA,1,NA,0
s51015,Quantitative,no warning,B,1896,31.6,NA,32,female,2,italian,7,UNC,MA in psyc.,NA,1,2 semesters of statistics,0,NA,0,NA,1,NA,0
s51016,Quantitative,no warning,A,1114,18.566666666666666,NA,30,male,1,NA,6,UNC,"Masters in Statistics, 1st year",NA,1,applied statistics 600 level class,0,NA,1,12 hour workshop on urban analytics in R,0,N/A,0
s51017,Quantitative,warning,A,1104,18.4,right,26,male,2,korean,8,UNC,1st year PhD student in Economics,1,1,2 years of statistics in College,0,NA,0,NA,0,NA,0
s51018,Quantitative,no warning,B,1906,31.766666666666666,NA,39,female,1,NA,7,UNC,4th year PhD student in Psychology,4,1,3.5 semesters of statistics in graduate school,0,NA,0,NA,1,NA,0
s51019,Quantitative,no warning,B,1253,20.883333333333333,NA,28,female,1,NA,7,UC Berkeley,6th year PhD student in Psychology,6,1,"1 semester in high school, 1 in undergrad, 4 semesters in graduate school",1,None,1,"Several workshops using R and Python, 8 hours total",1,Machine learning competitions and bootcamps where visualizing data was useful. Internship which required statistical analyses and visualization.,0
s51020,Quantitative,warning,A,1774,29.566666666666666,right,26,female,2,swedish,7,Brown University,4th year PhD in Economics,4,1,"econometrics & applied (stata) classes on undergraduate, masters and phd level",1,coursera class on qgis,0,NA,1,NA,0
s51021,Quantitative,warning,B,613,10.216666666666667,right,26,female,1,NA,8,UNC,5th year PhD student in Psychology & Neuroscience (Cognitive),5,1,6 courses in Quantitative Psychology,0,NA,1,1 hr workshop at CUNY,0,informal web searching ggplot functions in R,0
s51022,Quantitative,no warning,B,1285,21.416666666666668,NA,25,female,2,chinese,7,UNC,4th year PhD student in optimization,4,1,learned some before than taught college students statistics for 3 semesters,0,NA,0,NA,1,NA,0
s51023,Quantitative,warning,A,1889,31.483333333333334,right,24,female,1,NA,6,UC Berkeley,1st year PhD student in Psychology,1,1,One semester in statistics-preparation in graduate school,0,NA,1,I took a 4 workshop on R,1,I am gaining graph skills informally with reading papers and internet searches.,0
s51024,Quantitative,warning,A,1354,22.566666666666666,right,39,male,2,greek,8,UNC,1st year PhD in economics,1,0,NA,0,NA,0,NA,0,NA,1
s51025,Quantitative,warning,B,1451,24.183333333333334,right,32,female,1,NA,7,UC Berkeley,3rd year PhD student in Psychology,3,1,2 semesters of statistics in graduate school,1,R exercises through R modules (~2 hours),1,an 8 hour (across 4 days) R workshop run by a data science workgroup,0,n/a,0
s51026,Quantitative,no warning,A,2154,35.9,NA,29,female,2,chinese,7,UC Berkeley,7th  year PhD student in psychology,7,1,4 semesters grad school stats; 1 semester undergrad stats,1,2 R courses on DataCamp,1,about 2 per year over the past 7 years,0,NA,0
s51027,Quantitative,no warning,B,2734,45.56666666666667,NA,24,female,1,NA,8,CMU,2nd year phd student in psychology,2,1,I've taken 3 undergraduate statistics classes and 2 graduate statistics classes.,1,worked through R Data Camp online exercises when learning R,1,I attended a workshop on data visualization using ggplot2 and another for MATLAB.,1,I've read some blogs and watched some instructional videos about using statistical tests properly and how to implement data visualization with certain programs.,0
s51028,Quantitative,warning,A,103503,1725.05,right,26,female,2,italian,7,Brown University,3rd year PhD student in Economics,3,1,2 semesters of statistics and econometrics in undergraduate school + 2 semesters in graduate school,0,NA,1,I took a 3 hour workshop in R,0,RA job for Economics professors,0
s51029,Quantitative,warning,B,9381,156.35,right,24,male,2,chinese,6,UNC,2nd year PhD student in statistics,2,1,3 smemster of statisitcs in graduate school,0,NA,0,NA,0,NA,0
s51030,Quantitative,no warning,A,884,14.733333333333333,NA,24,non-binary,1,NA,6,UNC,1st year PhD student in Economics,1,1,3 semesters of statistics in my undergraduate studies as well as spending a while trying and failing to find a way to visualize my mathematics research (it was just a *bit* too abstract to make a visualization that made sense).,0,NA,0,NA,1,NA,0
s51031,Quantitative,no warning,B,860,14.333333333333334,NA,27,male,1,NA,8,UC Berkeley,6th year PhD student in Statistics,6,1,4 courses as an undergraduate and 6+ in graduate school,0,NA,0,NA,1,NA,0
s51032,Quantitative,warning,A,1490,24.833333333333332,right,28,female,1,NA,7,UC Berkeley,4th year phd student in psychology,4,1,1 graduate statistics and 1 machine learning course,1,NA,1,information python workshops (~10 hours) run by a group on campus,0,regularly looking for answers to stats and visualization questions online,0
s51033,Quantitative,no warning,B,1293,21.55,NA,25,female,1,NA,7,UC Berkeley,3rd year PhD student in psychology,3,1,1 semester of statistics in graduate school + two summer courses on multilevel models,0,NA,0,NA,0,NA,0
s51034,Quantitative,warning,A,2149,35.81666666666667,right,25,female,2,vietnamese,7,CMU,I am indeed a 2nd year PhD student in Psychology. Funny coincidence.,NA,1,2 semesters of statistics in graduate school,0,NA,0,NA,0,NA,0
s51035,Quantitative,no warning,B,735,12.25,NA,25,female,1,NA,7,UC Berkeley,5th year PhD student in Statistics,5,1,4 years statistics undergraduate + 2 years of statistics courses in graduate school,1,ggplot and D3 tutorials online,1,Workshops on plotting and statistics in R put on by R-Ladies,1,"Many, many informal discussions with other graduate students",0
s51036,Quantitative,warning,A,606,10.1,right,25,female,2,telugu,8,Washington University,4th year PhD student in Psych,4,1,3 semesters of stats in grad school,1,R online exercises,1,R workshops,0,Research purposes,0
s51037,Quantitative,no warning,A,1011,16.85,NA,27,male,2,turkish,8,Upenn,4th year PhD student in Economics,4,1,4 semesters of statistics in grad school + TAed grad econometrics for one semester + taught econometrics to undergrads for two summers,1,worked through data science in R modules in Coursera offered by Johns Hopkins,0,NA,0,NA,0
s51038,Quantitative,no warning,B,1141,19.016666666666666,NA,23,female,1,NA,7,Washington University,1st year PhD student in Psychology,1,1,"coursework of a statistics major in undergrad, data analysis for several published experiments, undergraduate and graduate statistics for psychology students, several workshops",0,NA,1,I took a 6 hour workshop on linear mixed effects models,1,I have analyzed the data for many research projects.,0
s51039,Quantitative,warning,B,990,16.5,right,22,female,2,mandarin,6,Washington University,1st year PhD in Economics,1,0,NA,1,Studied R programming on Coursera,0,NA,1,NA,0
s51040,Quantitative,warning,A,1339,22.316666666666666,right,24,male,1,NA,6,Upenn,1st year PhD student in Clinical Psychology,1,1,"2 undergraduate statistics classes, 1 semester of statistics in graduate school (ongoing)",1,worked through R for Data Science exercises,1,Various SPSS/R/Python workshops at NIH and in graduate school,0,NA,0
s51041,Quantitative,no warning,A,690,11.5,NA,23,male,2,mandarin,6,Upenn,2nd year PhD student in Economics,2,1,"4 semesters of statistics, 4 semesters of econometrics  in undergraduate + 2 semesters of econometrics  in graduate",0,NA,0,NA,0,NA,0
s51042,Quantitative,warning,B,349,5.816666666666666,right,23,male,2,chinese,8,Upenn,1st,1,1,NA,0,NA,0,NA,0,NA,0
s51043,Quantitative,no warning,A,970,16.166666666666668,NA,27,female,2,chinese,7,Upenn,5th year Econ phd,5,1,"time series analysis,",0,NA,0,NA,0,NA,0
s51044,Quantitative,no warning,B,545,9.083333333333334,NA,27,male,2,chinese,8,Washington University,5th year PhD student inEconomics,5,1,1 semester of econometrics,0,NA,0,NA,0,NA,0
s51045,Quantitative,no warning,A,1239,20.65,NA,25,female,2,greek,8,Washington University,3rd-year phd student in Economics,3,1,"courses in statistics, econometrics etc both in undergraduate studies and graduate studies",0,NA,0,NA,0,NA,0
s51046,Quantitative,warning,B,1031,17.183333333333334,right,26,female,1,NA,8,Upenn,5th year PhD student in Statistics,5,1,Statistics PhD student,0,NA,0,NA,0,NA,0
s51047,Quantitative,warning,B,1307,21.783333333333335,right,24,female,2,german,8,Upenn,1st year PhD student in Psychology,1,1,3 semesters of statistics in undergraduate + 1 semester of statistics in graduate school,0,NA,0,NA,0,NA,0
s51048,Quantitative,warning,A,1149,19.15,right,28,male,1,NA,7,Washington University,4th year PhD student in Psychology,4,1,3 semesters of statistics in graduate school,1,Multiple online modules for R training,1,6 hour workshop on R,1,Self-motivated review of HLM approaches in R,0
s51049,Quantitative,no warning,A,3126,52.1,NA,27,male,2,spanish,7,Washington University,3rd year PhD student in Psychology,3,1,3 semesters of statistics in graduate school + a graduate research methods course,1,Completion of various statistics and data science modules on Datacamp.com (~25 hours).,1,"~10 hours of workshops relating to statistics, data visualization (ggplot), and R.",0,"The rest of my statistics/data visualization knowledge comes from reading papers, online searches, and analyzing and plotting data. I also regularly read articles that present data aimed at a lay audience (e.g., health or epidemiological data, PC hardware benchmarks). I've seen some TED videos about data visualization.",0
