participantID,subject_condition,field,DB_nw_notice,noticed,coder1,coder2,agree,notes
s51056,no warning,Quantitative,"Yes, one interesting thing that I noticed is that units of measurement varied widely across graphs",0,0,1,0,
s51148,no warning,Quantitative,"Looked at scales on the graphs. I also will say that my responses were influenced by how important I thought the dependent variable was (for example, I weighed differences in mortality rate more heavily than differences in income for people who already make millions per year). 
Also, one of the questions misspelled ""mother"".",0,0,unsure,0,
s51180,no warning,Humanities,"I know enough about graphing data that it is extremely easy to manipulate, which was at the back of my mind as I was judging the graphs.",0,0,1,0,
s51194,no warning,Humanities,"I gradually became irritated by the bar graphs that showed very little visual difference (something about how the graphs *looked* bothered me). I found graphs with wide variation in bars more pleasing to look at, but those were often the most misleading.

I also noticed that some of the data wasn't really appropriate for bar graphs (would have been more easily understood as a line graph, especially change over time graphs), and the units varied widely and were often deceptive/not equidistant.",0,0,1,0,
s51226,no warning,Humanities,"There were definitely some visual tricks with them. It was hard to remember graph to graph how I had rated the previous one: so for some, twice the amount seemed like a really big difference, but it is harder to conceptualize billions of something. It is also hard to conceptualize percentages, especially when talking about 1 or 2% of something.",0,0,1,0,
s51268,no warning,Humanities,"I noticed how widely the values on the y-axis changed and used that to mostly answer (ie is the difference split between 3 percentage points, or between hundreds of millions of dollars?). I also wondered whether I was unintentionally basing the difference between the assigned categories by comparing them to the un-assigned categories with bars too and whether the order and distance between the bars I was supposed to evaluate affected my choice.",0,0,1,0,
s51007,no warning,Quantitative,"Not really... Some values were unknown to me (e.g. growth rate... of what?). The comparisons would be easier if there were SE bars. I also noticed that the graphs differed regarding comparisons (e.g. lowest to highest vs. mid-low to high-low), if there was a bar with a very different height (e.g. comparing two similar bars in the presence of a much larger bar vs. no larger bar present), and if the measure was absolute or relative.",0,0,0,1,
s51012,no warning,Quantitative,"I went back and forth about taking into account the y-axis--on the one hand, differences in what was being graphed could make a big difference (10s versus millions and the difference in bars might matter more), but on the other hand, if the bars all are measured the same (e.g., are all in the millions), then relatively speaking, the difference should be the same.",0,0,0,1,coder 2 changed from 1 to 0
s51015,no warning,Quantitative,The size of the bars that were also present but not part of the question often influenced my answer because it gave me more of a sense of the range of the values. I found graphs that had percentages on the y axis easier to interpret,0,0,0,1,coder 2 changed from 1 to 0
s51019,no warning,Quantitative,I'm a PhD student who works with quantitative data. Hope this doesn't skew your results :) Good luck.,0,0,0,1,
s51027,no warning,Quantitative,"Usually there were other differences that contextualized the difference being examined - for example, if there are 6 bars that look nearly identical and then one that is half a centimeter higher, that half centimeter looks more different than if it was with a bunch of similarly varying bars.",0,0,0,1,
s51033,no warning,Quantitative,I really missed error bars or 95% CIs.,0,0,0,1,
s51038,no warning,Quantitative,They had very different scales,0,0,0,1,coder 1 changed from 1 to 0
s51051,no warning,Quantitative,the average bachelor's degree income (which i presume includes social science majors) was much higher than the starting wage of grad students in social sciences,0,0,0,1,
s51076,no warning,Quantitative,"no error bars -- makes it difficult to interpret small differences. so if the difference was only 2-5 units, i usually said the bars weren't different but it could be the case that the small difference is actually significant",0,0,0,1,
s51082,no warning,Quantitative,I tried to measure the difference from other factors also. For example Russia is very cold than Thailand so I thought the environmental effect is there among people smoking cigarettes.,0,0,0,1,
s51092,no warning,Quantitative,I felt more precise when the information on the y axis is a relative metric.,0,0,0,1,
s51126,no warning,Quantitative,"Late in the survey, I did wonder how much additional data points affected my judgment (i.e. cremations in Japan is 100%). Though this does seem like ""useful"" information for judging magnitudes.",0,0,0,1,
s51156,no warning,Quantitative,"Without error bars, I wasn't sure how to tell the difference. I tried to infer the within group variance from between, but wasn't quite confident.",0,0,0,1,
s51176,no warning,Humanities,"It's possible that I was somewhat inconsistent when handling larger and smaller numbers, even if the percent difference was equivalent (ie I might have perceived the difference between 1000000/1300000 as larger than the difference between 10/13, even though the percent difference is equivalent).",0,0,0,1,
s51184,no warning,Humanities,It was harder to see the distinction between bars in a single chart because they were all the same color.,0,0,0,1,
s51203,no warning,Humanities,"I'm not sure what kind of participant background is assumed in the last questions. As a lay person, I often skip over graphs in news articles and popular literature. As a former linguist, I'm very familiar with graphs and am used to incorporating them into my work and interpreting them in the literature. As a college English instructor and in my research on poetry, graphs rarely figure.",0,0,0,1,
s51210,no warning,Humanities,More information would be helpful.,0,0,0,1,
s51216,no warning,Humanities,I found myself having an easier time wrapping my head around difference when percentages were used as the scale - it's easier to visualize.,0,0,0,1,
s51230,no warning,Humanities,I am more likely to skim graphs on a computer screen than in print,0,0,0,1,
s51233,no warning,Humanities,Without more knowledge of the subjects being presented it was difficult to judge whether the scales of the graphs were appropriate.,0,0,0,1,
s51234,no warning,Humanities,There is a typo on the graph about single mothers.,0,0,0,1,
s51283,no warning,Humanities,The bars looked quite bigger and wider than what I was used to.,0,0,0,1,
s51297,no warning,Humanities,"I often answered the question based not so much on the actual visual difference but rather according to what is being compared, i.e sometimes implying a subjective judgment",0,0,0,1,
s51309,no warning,Humanities,they definitely aren't standardized across - it can be hard to define difference because of relative values,0,0,0,1,coder 2 changed from 1 to 0
s51313,no warning,Humanities,"The color of the graph (jet black with a white background) made it difficult to read at times, especially after looking at so many in succession",0,0,0,1,
s51325,no warning,Humanities,The bars asked to compare were generally close to each other.,0,0,0,1,
s51134,no warning,Quantitative,"As the test went by, I took a deeper look into the values of y-axis. At first, I only cared about how I feel (the way the graph looked).",1,0,1,0,
s51006,no warning,Quantitative,"Some of the graphs did not start at the origin (0,0) - for example, some of the y-axis values started at a non-zero value, which initially skewed my perception about how large the differences were between the bars of interest",1,1,1,1,
s51009,no warning,Quantitative,"The proportion of the graphs were sometimes misleading (i.e., two bars looked vastly different but their numerical difference was small). Graphs were also hard to judge when the numerical difference was depicted in small numbers (i.e., 2 or 3) but the small numbers represented millions.",1,1,1,1,
s51030,no warning,Quantitative,"I frequently got annoyed when I saw the axes were some tiny difference and the bars were vastly different, as I usually compared bars first, and then had to reevaluate my idea of the difference between the bars. Also some of the percents over 80% seemed like it would have been better to look at the other way, i.e. Looking at percent of non-cremation rather than cremation.",1,1,1,1,
s51035,no warning,Quantitative,The y-axis didn't start always start at 0 so looking at the scales was important.,1,1,1,1,
s51049,no warning,Quantitative,"I noticed that the scaling of the y axis varied substantially across graphs. Depending on the scaling, this magnified or diminished the apparent visual difference between bars. To prevent the scaling from biasing my judgments too much, I tried to visually estimate the absolute value for the categories and mentally compute a ratio between them. I calibrated the rating scale to different ratio values, e.g. a value around 1.1X was rated a 2, 1.25X=3, 1.5X=4, 1.75X=5, 2X=6, and &gt;2X= 7. I generally didn't take into account the nature of the data being presented.",1,1,1,1,
s51065,no warning,Quantitative,"Some graphs had axes manipulated to exaggerate small differences or downplay large differences. Another manipulation was include very large or small items to the set to downplay or exaggerate the difference between comparison items, respectfully",1,1,1,1,
s51067,no warning,Quantitative,"Some of the graphs had y-axes that began at zero, whereas others did not. I also assume that the experiment manipulated factors such as visual distance between bars, relative distance between bars (e.g., intentionally similar or dissimilar ""distractor"" bars), and the mapping of physical/relative distances to numerical values, but I certainly couldn't reverse-engineer the experimental design.",1,1,1,1,
s51084,no warning,Quantitative,scaling seems off/truncated sometimes?,1,1,1,1,
s51086,no warning,Quantitative,"The graphs varied in thickness, I think that will introduce a bias in my judgement. The scale on the y-axis was also rarely starting at zero, tricking me into thinking things are more different than they actually are. 
Also, some extreme graphs about subjects I cared about were surprising until I realized that the y-axis scale didn't start at zero.",1,1,1,1,
s51105,no warning,Quantitative,The Y axis rarely started at 0,1,1,1,1,
s51109,no warning,Quantitative,Anchoring bias and the scale sometimes made differences look larger than they were,1,1,1,1,
s51111,no warning,Quantitative,"There were no error bars, so comparing the difference was difficult. The y-axis of some graphs had a wider range and some had a narrower range.",1,1,1,1,
s51114,no warning,Quantitative,Scaling of some of them was very misleading,1,1,1,1,
s51140,no warning,Quantitative,"The graphs had y-axes that were measured in various units (billions, thousands, percentages, etc.). Also, many of the graphs began from y = 0, but also many of them did not: some restricted the range of the y-axis to be within a range [a,b]",1,1,1,1,
s51144,no warning,Quantitative,"There were never standard error bars. On some graphs, the range of y-values was very large and on some it was very small.",1,1,1,1,
s51165,no warning,Humanities,"I mean, graphs can be tricky in that smaller increments on the y-axis will make a difference appear greater, whereas smaller increments will make a difference appear smaller. When I read graphs, I try to be attuned to that fact. I also pay attention to the ""in thousands"" or ""in millions"" and base my own judgments of the graphs partially off how great I think the difference would be in the larger scheme of things. So, context is a part of it for me. So in a lot of ways, I think graphs are very useful, but they should not stand alone; each one tells a story in the way that it is constructed, so it's important to not take them at face value and to pay attention to the framing.",1,1,1,1,
s51167,no warning,Humanities,"In some charts, the discrepancy in bar size seemed a lot, but the discrepancy in quantity listed on the left seemed rather small. The bars seemed to magnify or exaggerate small differences in some cases.",1,1,1,1,
s51171,no warning,Humanities,"The types of information they conveyed were quite varied and the difference between marks on the y-axis changed often. The word ""different"" changed drastically in meaning depending on the graph. For example, with regards to the graph about how many states were in the union, a difference of even one state is pretty significant. However, with regards to the graph about police killings, whether police kill 100 or 200 people doesn't make much of a difference to me.",1,1,1,1,coder 1 changed from 0 to 1
s51190,no warning,Humanities,Differences in starting points of y-axes,1,1,1,1,
s51217,no warning,Humanities,"I expected them to be often confusing or misleading, because of the study parameters: as a result I was on the lookout for misleading y axes",1,1,1,1,
