participantID,field,duration,subject_condition,graph_condition,group,question,time
s51001,Quantitative,1239,no warning,NA,A,instructions,4.2
s51001,Quantitative,1239,no warning,control,A,1,7.6
s51001,Quantitative,1239,no warning,truncated,A,2,15.863
s51001,Quantitative,1239,no warning,control,A,3,13.881
s51001,Quantitative,1239,no warning,truncated,A,4,8.693
s51001,Quantitative,1239,no warning,control,A,5,9.304
s51001,Quantitative,1239,no warning,truncated,A,6,9.229
s51001,Quantitative,1239,no warning,control,A,7,12.551
s51001,Quantitative,1239,no warning,truncated,A,8,6.867
s51001,Quantitative,1239,no warning,control,A,9,8.182
s51001,Quantitative,1239,no warning,truncated,A,10,8.878
s51001,Quantitative,1239,no warning,control,A,11,8.71
s51001,Quantitative,1239,no warning,truncated,A,12,9.99
s51001,Quantitative,1239,no warning,control,A,13,8.298
s51001,Quantitative,1239,no warning,truncated,A,14,7.35
s51001,Quantitative,1239,no warning,control,A,15,5.99
s51001,Quantitative,1239,no warning,truncated,A,16,25.226
s51001,Quantitative,1239,no warning,control,A,17,12.536
s51001,Quantitative,1239,no warning,truncated,A,18,89.618
s51001,Quantitative,1239,no warning,control,A,19,8.775
s51001,Quantitative,1239,no warning,truncated,A,20,14.209
s51001,Quantitative,1239,no warning,control,A,21,14.902
s51001,Quantitative,1239,no warning,truncated,A,22,21.855
s51001,Quantitative,1239,no warning,control,A,23,7.626
s51001,Quantitative,1239,no warning,truncated,A,24,8.237
s51001,Quantitative,1239,no warning,control,A,25,13.686
s51001,Quantitative,1239,no warning,truncated,A,26,13.339
s51001,Quantitative,1239,no warning,control,A,27,16.058
s51001,Quantitative,1239,no warning,truncated,A,28,6.931
s51001,Quantitative,1239,no warning,control,A,29,11.157
s51001,Quantitative,1239,no warning,truncated,A,30,12.491
s51001,Quantitative,1239,no warning,control,A,31,8.779
s51001,Quantitative,1239,no warning,truncated,A,32,41.72
s51001,Quantitative,1239,no warning,control,A,33,19.78
s51001,Quantitative,1239,no warning,truncated,A,34,10.436
s51001,Quantitative,1239,no warning,control,A,35,12.701
s51001,Quantitative,1239,no warning,truncated,A,36,379.892
s51001,Quantitative,1239,no warning,control,A,37,11.02
s51001,Quantitative,1239,no warning,truncated,A,38,10.808
s51001,Quantitative,1239,no warning,control,A,39,13.157
s51001,Quantitative,1239,no warning,truncated,A,40,8.712
s51002,Quantitative,1092,warning,NA,A,instructions,41.532
s51002,Quantitative,1092,warning,control,A,1,19.548
s51002,Quantitative,1092,warning,truncated,A,2,19.687
s51002,Quantitative,1092,warning,control,A,3,13.944
s51002,Quantitative,1092,warning,truncated,A,4,13.036
s51002,Quantitative,1092,warning,control,A,5,21.879
s51002,Quantitative,1092,warning,truncated,A,6,14.385
s51002,Quantitative,1092,warning,control,A,7,15.821
s51002,Quantitative,1092,warning,truncated,A,8,16.212
s51002,Quantitative,1092,warning,control,A,9,17.66
s51002,Quantitative,1092,warning,truncated,A,10,24.037
s51002,Quantitative,1092,warning,control,A,11,14.066
s51002,Quantitative,1092,warning,truncated,A,12,13.38
s51002,Quantitative,1092,warning,control,A,13,14.668
s51002,Quantitative,1092,warning,truncated,A,14,23.945
s51002,Quantitative,1092,warning,control,A,15,22.312
s51002,Quantitative,1092,warning,truncated,A,16,12.396
s51002,Quantitative,1092,warning,control,A,17,17.071
s51002,Quantitative,1092,warning,truncated,A,18,12.902
s51002,Quantitative,1092,warning,control,A,19,23.221
s51002,Quantitative,1092,warning,truncated,A,20,26.462
s51002,Quantitative,1092,warning,control,A,21,16.911
s51002,Quantitative,1092,warning,truncated,A,22,18.126
s51002,Quantitative,1092,warning,control,A,23,16.065
s51002,Quantitative,1092,warning,truncated,A,24,16.001
s51002,Quantitative,1092,warning,control,A,25,17.184
s51002,Quantitative,1092,warning,truncated,A,26,16.435
s51002,Quantitative,1092,warning,control,A,27,12.741
s51002,Quantitative,1092,warning,truncated,A,28,19.467
s51002,Quantitative,1092,warning,control,A,29,21.937
s51002,Quantitative,1092,warning,truncated,A,30,13.815
s51002,Quantitative,1092,warning,control,A,31,16.031
s51002,Quantitative,1092,warning,truncated,A,32,13.311
s51002,Quantitative,1092,warning,control,A,33,20.683
s51002,Quantitative,1092,warning,truncated,A,34,19.82
s51002,Quantitative,1092,warning,control,A,35,20.491
s51002,Quantitative,1092,warning,truncated,A,36,16.435
s51002,Quantitative,1092,warning,control,A,37,17.348
s51002,Quantitative,1092,warning,truncated,A,38,18.599
s51002,Quantitative,1092,warning,control,A,39,14.299
s51002,Quantitative,1092,warning,truncated,A,40,14.661
s51003,Quantitative,742,no warning,NA,B,instructions,2.849
s51003,Quantitative,742,no warning,truncated,B,1,9.965
s51003,Quantitative,742,no warning,control,B,2,15.045
s51003,Quantitative,742,no warning,truncated,B,3,15.057
s51003,Quantitative,742,no warning,control,B,4,8.797
s51003,Quantitative,742,no warning,truncated,B,5,10.438
s51003,Quantitative,742,no warning,control,B,6,9.211
s51003,Quantitative,742,no warning,truncated,B,7,7.519
s51003,Quantitative,742,no warning,control,B,8,10.255
s51003,Quantitative,742,no warning,truncated,B,9,7.528
s51003,Quantitative,742,no warning,control,B,10,33.659
s51003,Quantitative,742,no warning,truncated,B,11,12.941
s51003,Quantitative,742,no warning,control,B,12,12.506
s51003,Quantitative,742,no warning,truncated,B,13,13.069
s51003,Quantitative,742,no warning,control,B,14,6.412
s51003,Quantitative,742,no warning,truncated,B,15,12.917
s51003,Quantitative,742,no warning,control,B,16,11.031
s51003,Quantitative,742,no warning,truncated,B,17,7.276
s51003,Quantitative,742,no warning,control,B,18,9.506
s51003,Quantitative,742,no warning,truncated,B,19,8.913
s51003,Quantitative,742,no warning,control,B,20,17.469
s51003,Quantitative,742,no warning,truncated,B,21,6.481
s51003,Quantitative,742,no warning,control,B,22,8.552
s51003,Quantitative,742,no warning,truncated,B,23,8.331
s51003,Quantitative,742,no warning,control,B,24,9.191
s51003,Quantitative,742,no warning,truncated,B,25,10.377
s51003,Quantitative,742,no warning,control,B,26,8.085
s51003,Quantitative,742,no warning,truncated,B,27,8.823
s51003,Quantitative,742,no warning,control,B,28,17.291
s51003,Quantitative,742,no warning,truncated,B,29,12.372
s51003,Quantitative,742,no warning,control,B,30,11.969
s51003,Quantitative,742,no warning,truncated,B,31,12.387
s51003,Quantitative,742,no warning,control,B,32,5.916
s51003,Quantitative,742,no warning,truncated,B,33,11.429
s51003,Quantitative,742,no warning,control,B,34,8.415
s51003,Quantitative,742,no warning,truncated,B,35,14.486
s51003,Quantitative,742,no warning,control,B,36,11.227
s51003,Quantitative,742,no warning,truncated,B,37,11.833
s51003,Quantitative,742,no warning,control,B,38,19.979
s51003,Quantitative,742,no warning,truncated,B,39,5.258
s51003,Quantitative,742,no warning,control,B,40,5.635
s51004,Quantitative,1634,warning,NA,B,instructions,40.918
