duration,check,dem_browser_Browser,dem_browser_Version,dem_browser_Operating System,dem_browser_Resolution,dem_age,dem_gender,dem_ed,dem_ed_4_TEXT,dem_ed_string,dem_language,dem_language_2_TEXT,dem_language_string,group,participantID,subject_condition,duration_min
382,NA,Chrome,68.0.3440.68,Macintosh,1440x900,22,female,3,NA,NA,1,NA,NA,B,s31001,no warning,6.366666666666666
276,NA,Chrome,67.0.3396.99,Windows NT 6.1,1366x768,71,male,6,NA,NA,1,NA,NA,A,s31002,no warning,4.6
501,NA,MSIE,11.0,Windows NT 6.1,1745x982,32,female,2,NA,NA,1,NA,NA,A,s31003,no warning,8.35
694,right,Chrome,67.0.3396.99,Windows NT 10.0,1536x864,29,female,3,NA,NA,1,NA,NA,A,s31004,warning,11.566666666666666
628,right,Chrome,67.0.3396.99,Windows NT 10.0,1536x864,22,male,2,NA,NA,1,NA,NA,B,s31005,warning,10.466666666666667
625,NA,Chrome,67.0.3396.99,Windows NT 6.1,1120x700,50,female,8,NA,biology,1,NA,NA,B,s31006,no warning,10.416666666666666
398,NA,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,27,other,2,NA,NA,1,NA,NA,A,s31007,no warning,6.633333333333334
873,NA,Chrome,67.0.3396.99,Macintosh,1680x1050,30,male,6,NA,NA,1,NA,NA,B,s31008,no warning,14.55
856,NA,Firefox,61.0,Windows NT 6.1,1413x795,36,male,6,NA,NA,1,NA,NA,B,s31009,no warning,14.266666666666667
947,right,Chrome,67.0.3396.99,Windows NT 10.0,1536x864,21,male,4,4,NA,1,NA,NA,A,s31010,warning,15.783333333333333
319,wrong,Chrome,67.0.3396.99,Windows NT 10.0,1536x864,25,female,5,NA,NA,1,NA,NA,A,s31011,warning,5.316666666666666
928,NA,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,24,male,6,NA,NA,1,NA,NA,B,s31012,no warning,15.466666666666667
954,right,Chrome,67.0.3396.99,Windows NT 6.1,1920x1080,31,male,6,NA,NA,1,NA,NA,B,s31013,warning,15.9
603,NA,Chrome,67.0.3396.99,Windows NT 6.3,1920x1080,27,female,6,NA,NA,1,NA,NA,B,s31014,no warning,10.05
934,NA,Chrome,67.0.3396.99,Windows NT 6.1,1366x768,25,male,6,NA,NA,1,NA,NA,B,s31015,no warning,15.566666666666666
970,NA,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,28,male,2,NA,NA,1,NA,NA,A,s31016,no warning,16.166666666666668
428,wrong,Firefox,61.0,Windows NT 10.0,1920x1080,30,male,6,NA,NA,1,NA,NA,A,s31017,warning,7.133333333333334
494,NA,Chrome,67.0.3396.99,Windows NT 6.1,1366x768,30,male,8,NA,NA,1,NA,29,B,s31018,no warning,8.233333333333333
708,right,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,27,female,3,NA,NA,1,NA,NA,B,s31019,warning,11.8
1206,right,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,40,female,6,NA,NA,1,NA,NA,A,s31020,warning,20.1
1108,NA,Chrome,67.0.3396.99,Windows NT 6.3,1600x900,47,male,6,NA,NA,1,NA,NA,B,s31021,no warning,18.466666666666665
1341,NA,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,47,male,6,NA,NA,1,NA,NA,A,s31022,no warning,22.35
842,NA,Chrome,67.0.3396.99,Windows NT 6.1,1920x1200,37,male,3,NA,NA,1,NA,NA,B,s31023,no warning,14.033333333333333
1115,NA,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,29,female,6,NA,NA,1,NA,NA,B,s31024,no warning,18.583333333333332
1385,wrong,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,29,male,3,NA,NA,1,NA,NA,B,s31025,warning,23.083333333333332
978,right,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,31,male,2,NA,NA,1,NA,NA,A,s31026,warning,16.3
734,NA,Chrome,67.0.3396.99,Windows NT 6.1,1280x800,29,female,3,NA,NA,1,NA,NA,B,s31027,no warning,12.233333333333333
1015,right,Chrome,67.0.3396.99,Windows NT 10.0,1440x900,35,male,8,NA,Psychology,1,NA,NA,A,s31028,warning,16.916666666666668
1333,NA,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,31,male,6,NA,NA,1,NA,NA,A,s31029,no warning,22.216666666666665
1776,right,Chrome,67.0.3396.99,Windows NT 10.0,1440x900,45,male,2,NA,NA,1,NA,NA,A,s31030,warning,29.6
1408,wrong,Chrome,67.0.3396.99,Windows NT 10.0,1600x900,25,male,6,NA,NA,1,NA,NA,B,s31031,warning,23.466666666666665
472,right,Chrome,67.0.3396.99,Macintosh,1440x900,25,male,6,NA,NA,1,NA,NA,B,s31032,warning,7.866666666666666
1652,right,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,30,male,3,NA,NA,1,NA,NA,B,s31033,warning,27.533333333333335
639,NA,Chrome,67.0.3396.99,Windows NT 6.1,1366x768,30,male,6,NA,NA,1,NA,20,A,s31034,no warning,10.65
1639,NA,Chrome,67.0.3396.99,Windows NT 10.0,1536x864,59,female,6,NA,NA,1,NA,NA,A,s31035,no warning,27.316666666666666
1608,right,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,25,male,6,NA,NA,1,NA,NA,A,s31036,warning,26.8
1863,right,Chrome,67.0.3396.99,Windows NT 10.0,1536x960,31,male,5,NA,NA,2,Vietnamese,26,A,s31037,warning,31.05
220,right,Chrome,67.0.3396.99,CrOS x86_64 10575.58.0,1366x768,33,male,3,NA,NA,1,NA,NA,B,s31038,warning,3.6666666666666665
344,right,Chrome,67.0.3396.99,Windows NT 10.0,1366x768,30,male,6,NA,NA,1,NA,NA,A,s31039,warning,5.733333333333333
391,right,Chrome,67.0.3396.99,Macintosh,1920x1080,28,female,8,NA,MS,1,NA,NA,A,s31040,warning,6.516666666666667
1294,right,Chrome,67.0.3396.99,Windows NT 10.0,1600x900,45,female,5,NA,NA,1,NA,NA,B,s31041,warning,21.566666666666666
2348,right,Chrome,67.0.3396.99,Windows NT 6.1,1920x1080,31,male,5,NA,NA,1,NA,NA,A,s31042,warning,39.13333333333333
2250,right,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,27,female,3,NA,NA,1,NA,NA,B,s31043,warning,37.5
1039,NA,Firefox,61.0,Windows NT 6.1,1920x1080,43,female,6,NA,NA,1,NA,NA,A,s31044,no warning,17.316666666666666
254,NA,Chrome,67.0.3396.99,Windows NT 6.1,1920x1080,35,male,3,NA,NA,1,NA,NA,B,s31045,no warning,4.233333333333333
2182,NA,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,54,female,6,NA,NA,1,NA,NA,B,s31046,no warning,36.36666666666667
2430,right,Chrome,67.0.3396.99,Windows NT 6.1,1366x768,32,male,6,NA,NA,1,NA,NA,A,s31047,warning,40.5
671,NA,Chrome,67.0.3396.99,Windows NT 6.3,1920x1080,29,female,6,NA,NA,1,NA,NA,B,s31048,no warning,11.183333333333334
1587,right,Chrome,67.0.3396.99,Windows NT 10.0,1366x768,30,male,6,NA,NA,1,NA,NA,B,s31049,warning,26.45
387,NA,Chrome,67.0.3396.99,Windows NT 10.0,1600x900,31,female,6,NA,NA,1,NA,NA,A,s31050,no warning,6.45
1112,right,Chrome,67.0.3396.99,Windows NT 10.0,1920x1080,31,male,8,NA,MA,1,NA,NA,A,s31051,warning,18.533333333333335
856,NA,Chrome,67.0.3396.99,Windows NT 6.3,1366x768,30,male,6,NA,NA,1,NA,NA,B,s31052,no warning,14.266666666666667
2213,right,Chrome,67.0.3396.99,Windows NT 10.0,1366x768,29,female,6,NA,NA,1,NA,NA,A,s31053,warning,36.88333333333333
