participantID,subject_condition,graph_condition,group,question,rating,check,order
s31001,no warning,truncated,B,1,4,NA,17
s31001,no warning,control,B,10,2,NA,2
s31001,no warning,truncated,B,11,4,NA,36
s31001,no warning,control,B,12,5,NA,10
s31001,no warning,truncated,B,13,6,NA,32
s31001,no warning,control,B,14,7,NA,7
s31001,no warning,truncated,B,15,6,NA,31
s31001,no warning,control,B,16,4,NA,13
s31001,no warning,truncated,B,17,2,NA,5
s31001,no warning,control,B,18,2,NA,27
s31001,no warning,truncated,B,19,6,NA,20
s31001,no warning,control,B,2,6,NA,1
s31001,no warning,control,B,20,4,NA,14
s31001,no warning,truncated,B,21,3,NA,11
s31001,no warning,control,B,22,2,NA,4
s31001,no warning,truncated,B,23,7,NA,24
s31001,no warning,control,B,24,2,NA,8
s31001,no warning,truncated,B,25,7,NA,6
s31001,no warning,control,B,26,4,NA,28
s31001,no warning,truncated,B,27,3,NA,3
s31001,no warning,control,B,28,3,NA,34
s31001,no warning,truncated,B,29,7,NA,18
s31001,no warning,truncated,B,3,3,NA,38
s31001,no warning,control,B,30,2,NA,33
s31001,no warning,truncated,B,31,5,NA,35
s31001,no warning,control,B,32,5,NA,30
s31001,no warning,truncated,B,33,5,NA,22
s31001,no warning,control,B,34,3,NA,23
s31001,no warning,truncated,B,35,7,NA,12
s31001,no warning,control,B,36,2,NA,15
s31001,no warning,truncated,B,37,3,NA,21
s31001,no warning,control,B,38,6,NA,29
s31001,no warning,truncated,B,39,2,NA,19
s31001,no warning,control,B,4,5,NA,9
s31001,no warning,control,B,40,2,NA,26
s31001,no warning,truncated,B,5,6,NA,25
s31001,no warning,control,B,6,2,NA,39
s31001,no warning,truncated,B,7,7,NA,40
s31001,no warning,control,B,8,2,NA,37
s31001,no warning,truncated,B,9,7,NA,16
s31002,no warning,control,A,1,6,NA,8
s31002,no warning,truncated,A,10,5,NA,18
s31002,no warning,control,A,11,6,NA,6
s31002,no warning,truncated,A,12,6,NA,14
s31002,no warning,control,A,13,6,NA,2
s31002,no warning,truncated,A,14,3,NA,16
s31002,no warning,control,A,15,6,NA,10
s31002,no warning,truncated,A,16,4,NA,22
s31002,no warning,control,A,17,4,NA,17
s31002,no warning,truncated,A,18,6,NA,9
s31002,no warning,control,A,19,6,NA,37
s31002,no warning,truncated,A,2,4,NA,27
s31002,no warning,truncated,A,20,4,NA,32
s31002,no warning,control,A,21,5,NA,35
s31002,no warning,truncated,A,22,5,NA,26
s31002,no warning,control,A,23,5,NA,28
s31002,no warning,truncated,A,24,6,NA,38
s31002,no warning,control,A,25,6,NA,3
s31002,no warning,truncated,A,26,5,NA,24
s31002,no warning,control,A,27,5,NA,15
s31002,no warning,truncated,A,28,4,NA,25
s31002,no warning,control,A,29,6,NA,1
s31002,no warning,control,A,3,5,NA,23
s31002,no warning,truncated,A,30,5,NA,34
s31002,no warning,control,A,31,6,NA,5
s31002,no warning,truncated,A,32,5,NA,29
s31002,no warning,control,A,33,5,NA,36
s31002,no warning,truncated,A,34,6,NA,19
s31002,no warning,control,A,35,5,NA,40
s31002,no warning,truncated,A,36,6,NA,7
s31002,no warning,control,A,37,6,NA,21
s31002,no warning,truncated,A,38,6,NA,12
s31002,no warning,control,A,39,5,NA,33
s31002,no warning,truncated,A,4,6,NA,4
s31002,no warning,truncated,A,40,5,NA,31
s31002,no warning,control,A,5,4,NA,20
s31002,no warning,truncated,A,6,5,NA,30
s31002,no warning,control,A,7,6,NA,39
s31002,no warning,truncated,A,8,6,NA,13
s31002,no warning,control,A,9,6,NA,11
s31003,no warning,control,A,1,3,NA,20
s31003,no warning,truncated,A,10,3,NA,12
s31003,no warning,control,A,11,3,NA,28
s31003,no warning,truncated,A,12,6,NA,18
s31003,no warning,control,A,13,5,NA,4
s31003,no warning,truncated,A,14,6,NA,34
s31003,no warning,control,A,15,4,NA,8
s31003,no warning,truncated,A,16,5,NA,26
s31003,no warning,control,A,17,2,NA,40
s31003,no warning,truncated,A,18,2,NA,1
s31003,no warning,control,A,19,5,NA,30
s31003,no warning,truncated,A,2,5,NA,19
s31003,no warning,truncated,A,20,5,NA,24
s31003,no warning,control,A,21,2,NA,6
s31003,no warning,truncated,A,22,2,NA,7
s31003,no warning,control,A,23,6,NA,15
s31003,no warning,truncated,A,24,2,NA,22
s31003,no warning,control,A,25,6,NA,31
s31003,no warning,truncated,A,26,5,NA,25
s31003,no warning,control,A,27,1,NA,38
s31003,no warning,truncated,A,28,6,NA,23
s31003,no warning,control,A,29,5,NA,29
s31003,no warning,control,A,3,2,NA,17
s31003,no warning,truncated,A,30,3,NA,2
s31003,no warning,control,A,31,4,NA,33
s31003,no warning,truncated,A,32,6,NA,21
s31003,no warning,control,A,33,2,NA,3
s31003,no warning,truncated,A,34,4,NA,32
s31003,no warning,control,A,35,4,NA,11
s31003,no warning,truncated,A,36,4,NA,5
s31003,no warning,control,A,37,2,NA,39
s31003,no warning,truncated,A,38,7,NA,16
s31003,no warning,control,A,39,1,NA,37
s31003,no warning,truncated,A,4,6,NA,9
s31003,no warning,truncated,A,40,3,NA,35
s31003,no warning,control,A,5,3,NA,36
s31003,no warning,truncated,A,6,5,NA,14
s31003,no warning,control,A,7,5,NA,13
s31003,no warning,truncated,A,8,4,NA,10
s31003,no warning,control,A,9,3,NA,27
s31004,warning,control,A,1,3,right,4
s31004,warning,truncated,A,10,2,right,8
s31004,warning,control,A,11,2,right,27
s31004,warning,truncated,A,12,6,right,16
s31004,warning,control,A,13,5,right,11
s31004,warning,truncated,A,14,3,right,18
s31004,warning,control,A,15,5,right,39
s31004,warning,truncated,A,16,2,right,1
s31004,warning,control,A,17,1,right,26
s31004,warning,truncated,A,18,2,right,35
s31004,warning,control,A,19,3,right,32
s31004,warning,truncated,A,2,3,right,28
s31004,warning,truncated,A,20,2,right,31
s31004,warning,control,A,21,2,right,15
s31004,warning,truncated,A,22,2,right,17
s31004,warning,control,A,23,6,right,34
s31004,warning,truncated,A,24,2,right,24
s31004,warning,control,A,25,4,right,37
s31004,warning,truncated,A,26,2,right,21
s31004,warning,control,A,27,2,right,2
s31004,warning,truncated,A,28,3,right,22
s31004,warning,control,A,29,4,right,6
s31004,warning,control,A,3,1,right,14
s31004,warning,truncated,A,30,2,right,38
s31004,warning,control,A,31,4,right,13
s31004,warning,truncated,A,32,3,right,36
s31004,warning,control,A,33,2,right,33
s31004,warning,truncated,A,34,2,right,3
s31004,warning,control,A,35,3,right,40
s31004,warning,truncated,A,36,2,right,30
s31004,warning,control,A,37,2,right,29
s31004,warning,truncated,A,38,3,right,23
s31004,warning,control,A,39,1,right,10
s31004,warning,truncated,A,4,3,right,20
s31004,warning,truncated,A,40,2,right,9
s31004,warning,control,A,5,4,right,19
s31004,warning,truncated,A,6,2,right,7
s31004,warning,control,A,7,4,right,12
s31004,warning,truncated,A,8,2,right,25
s31004,warning,control,A,9,3,right,5
s31005,warning,truncated,B,1,6,right,39
s31005,warning,control,B,10,2,right,14
s31005,warning,truncated,B,11,6,right,38
s31005,warning,control,B,12,6,right,25
s31005,warning,truncated,B,13,7,right,7
s31005,warning,control,B,14,7,right,24
s31005,warning,truncated,B,15,7,right,30
s31005,warning,control,B,16,6,right,37
s31005,warning,truncated,B,17,3,right,3
s31005,warning,control,B,18,2,right,15
s31005,warning,truncated,B,19,7,right,17
s31005,warning,control,B,2,5,right,13
s31005,warning,control,B,20,5,right,27
s31005,warning,truncated,B,21,6,right,29
s31005,warning,control,B,22,3,right,4
s31005,warning,truncated,B,23,7,right,40
s31005,warning,control,B,24,3,right,9
s31005,warning,truncated,B,25,7,right,21
s31005,warning,control,B,26,5,right,33
s31005,warning,truncated,B,27,5,right,36
s31005,warning,control,B,28,5,right,10
s31005,warning,truncated,B,29,7,right,26
s31005,warning,truncated,B,3,5,right,5
s31005,warning,control,B,30,3,right,2
s31005,warning,truncated,B,31,7,right,34
s31005,warning,control,B,32,7,right,12
s31005,warning,truncated,B,33,5,right,18
s31005,warning,control,B,34,5,right,28
s31005,warning,truncated,B,35,7,right,20
s31005,warning,control,B,36,4,right,31
s31005,warning,truncated,B,37,4,right,23
s31005,warning,control,B,38,6,right,8
s31005,warning,truncated,B,39,2,right,16
s31005,warning,control,B,4,6,right,6
s31005,warning,control,B,40,2,right,32
s31005,warning,truncated,B,5,7,right,22
s31005,warning,control,B,6,4,right,35
s31005,warning,truncated,B,7,4,right,1
s31005,warning,control,B,8,3,right,11
s31005,warning,truncated,B,9,6,right,19
s31006,no warning,truncated,B,1,4,NA,15
s31006,no warning,control,B,10,2,NA,19
s31006,no warning,truncated,B,11,4,NA,14
s31006,no warning,control,B,12,4,NA,6
s31006,no warning,truncated,B,13,7,NA,26
