participantID,duration,subject_condition,graph_condition,group,question,time
s31001,382,no warning,NA,B,instructions,2.78
s31001,382,no warning,truncated,B,1,6.338
s31001,382,no warning,control,B,2,7.262
s31001,382,no warning,truncated,B,3,6.416
s31001,382,no warning,control,B,4,5.034
s31001,382,no warning,truncated,B,5,7.323
s31001,382,no warning,control,B,6,7.891
s31001,382,no warning,truncated,B,7,7.629
s31001,382,no warning,control,B,8,5.557
s31001,382,no warning,truncated,B,9,7.009
s31001,382,no warning,control,B,10,5.322
s31001,382,no warning,truncated,B,11,4.191
s31001,382,no warning,control,B,12,7.53
s31001,382,no warning,truncated,B,13,6.14
s31001,382,no warning,control,B,14,4.144
s31001,382,no warning,truncated,B,15,8.228
s31001,382,no warning,control,B,16,5.277
s31001,382,no warning,truncated,B,17,4.904
s31001,382,no warning,control,B,18,6.227
s31001,382,no warning,truncated,B,19,7.254
s31001,382,no warning,control,B,20,8.238
s31001,382,no warning,truncated,B,21,5.179
s31001,382,no warning,control,B,22,4.093
s31001,382,no warning,truncated,B,23,5.667
s31001,382,no warning,control,B,24,6.752
s31001,382,no warning,truncated,B,25,4.842
s31001,382,no warning,control,B,26,7.144
s31001,382,no warning,truncated,B,27,5.986
s31001,382,no warning,control,B,28,6.388
s31001,382,no warning,truncated,B,29,6.687
s31001,382,no warning,control,B,30,5.464
s31001,382,no warning,truncated,B,31,6.252
s31001,382,no warning,control,B,32,5.039
s31001,382,no warning,truncated,B,33,6.822
s31001,382,no warning,control,B,34,6.192
s31001,382,no warning,truncated,B,35,5.485
s31001,382,no warning,control,B,36,7.536
s31001,382,no warning,truncated,B,37,6.477
s31001,382,no warning,control,B,38,10.244
s31001,382,no warning,truncated,B,39,6.158
s31001,382,no warning,control,B,40,6.101
s31002,276,no warning,NA,A,instructions,3.283
s31002,276,no warning,control,A,1,1.402
s31002,276,no warning,truncated,A,2,1.719
s31002,276,no warning,control,A,3,1.965
s31002,276,no warning,truncated,A,4,1.626
s31002,276,no warning,control,A,5,1.943
s31002,276,no warning,truncated,A,6,2.066
s31002,276,no warning,control,A,7,1.443
s31002,276,no warning,truncated,A,8,1.694
s31002,276,no warning,control,A,9,1.443
s31002,276,no warning,truncated,A,10,1.273
s31002,276,no warning,control,A,11,2.038
s31002,276,no warning,truncated,A,12,1.159
s31002,276,no warning,control,A,13,2.543
s31002,276,no warning,truncated,A,14,2.018
s31002,276,no warning,control,A,15,1.566
s31002,276,no warning,truncated,A,16,2.25
s31002,276,no warning,control,A,17,1.301
s31002,276,no warning,truncated,A,18,1.23
s31002,276,no warning,control,A,19,12.983
s31002,276,no warning,truncated,A,20,1.816
s31002,276,no warning,control,A,21,1.632
s31002,276,no warning,truncated,A,22,1.483
s31002,276,no warning,control,A,23,1.848
s31002,276,no warning,truncated,A,24,2.075
s31002,276,no warning,control,A,25,2.016
s31002,276,no warning,truncated,A,26,1.927
s31002,276,no warning,control,A,27,1.888
s31002,276,no warning,truncated,A,28,1.416
s31002,276,no warning,control,A,29,1.989
s31002,276,no warning,truncated,A,30,1.733
s31002,276,no warning,control,A,31,1.845
s31002,276,no warning,truncated,A,32,1.932
s31002,276,no warning,control,A,33,1.451
s31002,276,no warning,truncated,A,34,3.569
s31002,276,no warning,control,A,35,1.102
s31002,276,no warning,truncated,A,36,1.567
s31002,276,no warning,control,A,37,1.642
s31002,276,no warning,truncated,A,38,1.428
s31002,276,no warning,control,A,39,1.813
s31002,276,no warning,truncated,A,40,1.653
s31003,501,no warning,NA,A,instructions,5.205
s31003,501,no warning,control,A,1,4.649
s31003,501,no warning,truncated,A,2,8.519
s31003,501,no warning,control,A,3,5.03
s31003,501,no warning,truncated,A,4,5.605
s31003,501,no warning,control,A,5,8.919
s31003,501,no warning,truncated,A,6,18.36
s31003,501,no warning,control,A,7,4.481
s31003,501,no warning,truncated,A,8,4.582
s31003,501,no warning,control,A,9,17.554
s31003,501,no warning,truncated,A,10,5.343
s31003,501,no warning,control,A,11,4.191
s31003,501,no warning,truncated,A,12,4.91
s31003,501,no warning,control,A,13,6.562
s31003,501,no warning,truncated,A,14,5.836
s31003,501,no warning,control,A,15,8.652
s31003,501,no warning,truncated,A,16,3.351
s31003,501,no warning,control,A,17,3.636
s31003,501,no warning,truncated,A,18,10.424
s31003,501,no warning,control,A,19,7.888
s31003,501,no warning,truncated,A,20,3.375
s31003,501,no warning,control,A,21,10.031
s31003,501,no warning,truncated,A,22,7.301
s31003,501,no warning,control,A,23,7.142
s31003,501,no warning,truncated,A,24,5.018
s31003,501,no warning,control,A,25,7.766
s31003,501,no warning,truncated,A,26,2.705
s31003,501,no warning,control,A,27,4.494
s31003,501,no warning,truncated,A,28,62.777
s31003,501,no warning,control,A,29,3.639
s31003,501,no warning,truncated,A,30,5.907
s31003,501,no warning,control,A,31,4.697
s31003,501,no warning,truncated,A,32,6.718
s31003,501,no warning,control,A,33,4.661
s31003,501,no warning,truncated,A,34,6.007
s31003,501,no warning,control,A,35,6.305
s31003,501,no warning,truncated,A,36,9.8
s31003,501,no warning,control,A,37,4.154
s31003,501,no warning,truncated,A,38,26.173
s31003,501,no warning,control,A,39,9.057
s31003,501,no warning,truncated,A,40,2.683
s31004,694,warning,NA,A,instructions,144.833
s31004,694,warning,control,A,1,4.115
s31004,694,warning,truncated,A,2,7.803
s31004,694,warning,control,A,3,2.503
s31004,694,warning,truncated,A,4,7.11
s31004,694,warning,control,A,5,9.193
s31004,694,warning,truncated,A,6,8.054
s31004,694,warning,control,A,7,5.609
s31004,694,warning,truncated,A,8,4.606
s31004,694,warning,control,A,9,6.33
s31004,694,warning,truncated,A,10,5.384
s31004,694,warning,control,A,11,13.369
s31004,694,warning,truncated,A,12,8.522
s31004,694,warning,control,A,13,7.717
s31004,694,warning,truncated,A,14,10.247
s31004,694,warning,control,A,15,11.062
s31004,694,warning,truncated,A,16,11.023
s31004,694,warning,control,A,17,7.925
s31004,694,warning,truncated,A,18,6.588
s31004,694,warning,control,A,19,33.881
s31004,694,warning,truncated,A,20,12.066
s31004,694,warning,control,A,21,9.321
s31004,694,warning,truncated,A,22,8.037
s31004,694,warning,control,A,23,5.65
s31004,694,warning,truncated,A,24,6.905
s31004,694,warning,control,A,25,11.378
s31004,694,warning,truncated,A,26,6.389
s31004,694,warning,control,A,27,3.76
s31004,694,warning,truncated,A,28,5.7
s31004,694,warning,control,A,29,4.771
s31004,694,warning,truncated,A,30,8.692
s31004,694,warning,control,A,31,4.519
s31004,694,warning,truncated,A,32,5.599
s31004,694,warning,control,A,33,4.611
s31004,694,warning,truncated,A,34,7.482
s31004,694,warning,control,A,35,7.685
s31004,694,warning,truncated,A,36,5.172
s31004,694,warning,control,A,37,8.708
s31004,694,warning,truncated,A,38,14.632
s31004,694,warning,control,A,39,9.564
s31004,694,warning,truncated,A,40,6.518
s31005,628,warning,NA,B,instructions,21.421
s31005,628,warning,truncated,B,1,4.381
s31005,628,warning,control,B,2,9.312
s31005,628,warning,truncated,B,3,12.429
s31005,628,warning,control,B,4,9.684
s31005,628,warning,truncated,B,5,10.253
s31005,628,warning,control,B,6,5.32
s31005,628,warning,truncated,B,7,16.523
s31005,628,warning,control,B,8,8.875
s31005,628,warning,truncated,B,9,7.484
s31005,628,warning,control,B,10,12.024
s31005,628,warning,truncated,B,11,4.523
s31005,628,warning,control,B,12,11.76
s31005,628,warning,truncated,B,13,11.857
s31005,628,warning,control,B,14,10.926
s31005,628,warning,truncated,B,15,9.983
s31005,628,warning,control,B,16,5.529
s31005,628,warning,truncated,B,17,12.964
s31005,628,warning,control,B,18,8.354
s31005,628,warning,truncated,B,19,12.109
s31005,628,warning,control,B,20,14.523
s31005,628,warning,truncated,B,21,14.682
s31005,628,warning,control,B,22,21.526
s31005,628,warning,truncated,B,23,5.163
s31005,628,warning,control,B,24,12.257
s31005,628,warning,truncated,B,25,7.383
s31005,628,warning,control,B,26,5.728
s31005,628,warning,truncated,B,27,5.771
s31005,628,warning,control,B,28,16.196
s31005,628,warning,truncated,B,29,4.778
s31005,628,warning,control,B,30,14.895
s31005,628,warning,truncated,B,31,5.349
s31005,628,warning,control,B,32,6.285
s31005,628,warning,truncated,B,33,5.905
s31005,628,warning,control,B,34,10.743
s31005,628,warning,truncated,B,35,10.66
s31005,628,warning,control,B,36,2.377
s31005,628,warning,truncated,B,37,16.311
s31005,628,warning,control,B,38,23.178
s31005,628,warning,truncated,B,39,6.972
s31005,628,warning,control,B,40,3.604
s31006,625,no warning,NA,B,instructions,5.849
s31006,625,no warning,truncated,B,1,29.988
s31006,625,no warning,control,B,2,13.986
s31006,625,no warning,truncated,B,3,11.454
s31006,625,no warning,control,B,4,6.221
s31006,625,no warning,truncated,B,5,9.573
s31006,625,no warning,control,B,6,13.087
s31006,625,no warning,truncated,B,7,8.097
s31006,625,no warning,control,B,8,13.158
s31006,625,no warning,truncated,B,9,14.802
s31006,625,no warning,control,B,10,8.924
s31006,625,no warning,truncated,B,11,7.888
s31006,625,no warning,control,B,12,13.688
s31006,625,no warning,truncated,B,13,4.544
s31006,625,no warning,control,B,14,8.047
s31006,625,no warning,truncated,B,15,15.44
s31006,625,no warning,control,B,16,6.555
s31006,625,no warning,truncated,B,17,8.897
s31006,625,no warning,control,B,18,18.644
s31006,625,no warning,truncated,B,19,13.607
s31006,625,no warning,control,B,20,7.562
s31006,625,no warning,truncated,B,21,11.423
s31006,625,no warning,control,B,22,9.904
s31006,625,no warning,truncated,B,23,7.759
s31006,625,no warning,control,B,24,9.613
s31006,625,no warning,truncated,B,25,5.991
s31006,625,no warning,control,B,26,6.129
s31006,625,no warning,truncated,B,27,8.443
s31006,625,no warning,control,B,28,10.491
s31006,625,no warning,truncated,B,29,7.861
s31006,625,no warning,control,B,30,7.713
s31006,625,no warning,truncated,B,31,9.447
s31006,625,no warning,control,B,32,7.002
s31006,625,no warning,truncated,B,33,8.712
s31006,625,no warning,control,B,34,9.268
s31006,625,no warning,truncated,B,35,9.934
s31006,625,no warning,control,B,36,7.82
s31006,625,no warning,truncated,B,37,11.108
s31006,625,no warning,control,B,38,11.983
s31006,625,no warning,truncated,B,39,8.979
s31006,625,no warning,control,B,40,11.316
s31007,398,no warning,NA,A,instructions,3.962
s31007,398,no warning,control,A,1,6.873
s31007,398,no warning,truncated,A,2,7.03
s31007,398,no warning,control,A,3,8.997
s31007,398,no warning,truncated,A,4,5.206
s31007,398,no warning,control,A,5,7.564
s31007,398,no warning,truncated,A,6,6.708
s31007,398,no warning,control,A,7,5.76
s31007,398,no warning,truncated,A,8,4.883
s31007,398,no warning,control,A,9,6.005
s31007,398,no warning,truncated,A,10,5.637
s31007,398,no warning,control,A,11,5.087
s31007,398,no warning,truncated,A,12,9.616
s31007,398,no warning,control,A,13,4.621
s31007,398,no warning,truncated,A,14,5.998
s31007,398,no warning,control,A,15,7.237
s31007,398,no warning,truncated,A,16,5.391
s31007,398,no warning,control,A,17,6.319
s31007,398,no warning,truncated,A,18,8.005
s31007,398,no warning,control,A,19,8.827
s31007,398,no warning,truncated,A,20,10.955
s31007,398,no warning,control,A,21,7.209
s31007,398,no warning,truncated,A,22,5.27
s31007,398,no warning,control,A,23,5.585
s31007,398,no warning,truncated,A,24,8.592
s31007,398,no warning,control,A,25,7.089
s31007,398,no warning,truncated,A,26,6.187
s31007,398,no warning,control,A,27,9.006
s31007,398,no warning,truncated,A,28,6.204
s31007,398,no warning,control,A,29,4.645
s31007,398,no warning,truncated,A,30,5.91
s31007,398,no warning,control,A,31,8.125
s31007,398,no warning,truncated,A,32,6.454
s31007,398,no warning,control,A,33,7.854
s31007,398,no warning,truncated,A,34,6.48
s31007,398,no warning,control,A,35,5.941
s31007,398,no warning,truncated,A,36,5.102
s31007,398,no warning,control,A,37,7.44
s31007,398,no warning,truncated,A,38,10.523
s31007,398,no warning,control,A,39,5.671
s31007,398,no warning,truncated,A,40,6.935
s31008,873,no warning,NA,B,instructions,5.95
s31008,873,no warning,truncated,B,1,4.435
s31008,873,no warning,control,B,2,8.416
s31008,873,no warning,truncated,B,3,9.012
s31008,873,no warning,control,B,4,15.811
s31008,873,no warning,truncated,B,5,21.48
s31008,873,no warning,control,B,6,6.48
s31008,873,no warning,truncated,B,7,9.871
s31008,873,no warning,control,B,8,6.759
s31008,873,no warning,truncated,B,9,6.488
s31008,873,no warning,control,B,10,12.103
s31008,873,no warning,truncated,B,11,13.014
s31008,873,no warning,control,B,12,12.009
s31008,873,no warning,truncated,B,13,8.138
s31008,873,no warning,control,B,14,21.909
s31008,873,no warning,truncated,B,15,7.144
s31008,873,no warning,control,B,16,191.734
s31008,873,no warning,truncated,B,17,4.694
s31008,873,no warning,control,B,18,16.812
s31008,873,no warning,truncated,B,19,16.177
s31008,873,no warning,control,B,20,13.819
s31008,873,no warning,truncated,B,21,7.568
s31008,873,no warning,control,B,22,4.582
s31008,873,no warning,truncated,B,23,17.862
s31008,873,no warning,control,B,24,20.058
