participantid,check,subject_condition,group,duration_1,duration_min_1,duration_2,duration_min_2,dem_age,dem_gender,dem_ed,dem_language,dem_language_2_text
s41001,NA,no warning,1A,191,3.183333333333333,1829,30.483333333333334,33,male,6,English,NA
s41002,NA,no warning,1B,244,4.066666666666666,698,11.633333333333333,29,male,5,English,NA
s41003,right,warning,2B,426,7.1,380,6.333333333333333,26,female,6,English,NA
s41004,NA,no warning,2A,390,6.5,597,9.95,28,male,2,English,NA
s41005,NA,no warning,1A,450,7.5,468,7.8,24,male,6,English,NA
s41006,NA,no warning,1B,328,5.466666666666667,319,5.316666666666666,29,male,5,English,NA
s41007,NA,no warning,2A,499,8.316666666666666,1107,18.45,33,male,6,English,NA
s41008,NA,no warning,1B,498,8.3,487,8.116666666666667,36,female,3,English,NA
s41009,right,warning,1B,676,11.266666666666667,698,11.633333333333333,34,female,5,English,NA
s41010,right,warning,2B,755,12.583333333333334,540,9,40,female,6,English,NA
s41011,NA,no warning,2B,790,13.166666666666666,805,13.416666666666666,31,male,6,English,NA
s41012,right,warning,1A,590,9.833333333333334,472,7.866666666666666,57,male,5,English,NA
s41013,NA,no warning,2B,842,14.033333333333333,844,14.066666666666666,42,female,5,English,NA
s41014,NA,no warning,1B,697,11.616666666666667,1033,17.216666666666665,43,female,2,English,NA
s41015,right,warning,2A,905,15.083333333333334,691,11.516666666666667,27,male,3,English,NA
s41016,right,warning,1A,735,12.25,970,16.166666666666668,30,female,6,English,NA
s41017,NA,no warning,2A,715,11.916666666666666,973,16.216666666666665,28,male,3,English,NA
s41018,NA,no warning,2B,971,16.183333333333334,1280,21.333333333333332,36,female,3,English,NA
s41019,right,warning,2A,975,16.25,1359,22.65,31,male,8,English,NA
s41020,right,warning,2A,873,14.55,708,11.8,23,male,6,English,NA
s41021,right,warning,1A,830,13.833333333333334,394,6.566666666666666,23,male,4,English,NA
s41022,NA,no warning,2B,884,14.733333333333333,1299,21.65,46,male,2,English,NA
s41023,NA,no warning,1B,1048,17.466666666666665,1132,18.866666666666667,29,female,6,English,NA
s41024,right,warning,1B,1206,20.1,1186,19.766666666666666,30,male,3,English,NA
s41025,right,warning,2B,1162,19.366666666666667,931,15.516666666666667,27,female,6,2,Spanish
s41026,NA,no warning,2A,389,6.483333333333333,470,7.833333333333333,30,female,6,English,NA
s41027,NA,no warning,1A,1319,21.983333333333334,2322,38.7,41,female,3,English,NA
s41028,NA,no warning,2A,1395,23.25,1006,16.766666666666666,40,male,6,English,NA
s41029,NA,no warning,1A,609,10.15,763,12.716666666666667,31,male,2,English,NA
s41030,wrong,warning,1B,324,5.4,597,9.95,45,male,6,English,NA
s41031,right,warning,2B,1038,17.3,678,11.3,50,female,6,English,NA
s41032,NA,no warning,1B,528,8.8,553,9.216666666666667,27,male,8,English,NA
s41033,NA,no warning,2A,1398,23.3,1830,30.5,32,male,6,English,NA
s41034,right,warning,1B,1522,25.366666666666667,965,16.083333333333332,36,male,8,English,NA
s41035,right,warning,1B,1531,25.516666666666666,1992,33.2,42,female,2,English,NA
s41036,NA,no warning,1B,554,9.233333333333333,1057,17.616666666666667,36,male,6,English,NA
s41037,wrong,warning,2B,872,14.533333333333333,1198,19.966666666666665,35,female,7,English,NA
s41038,right,warning,1B,408,6.8,2327,38.78333333333333,30,male,6,English,NA
s41039,NA,no warning,2B,1531,25.516666666666666,1392,23.2,28,female,6,English,NA
s41040,wrong,warning,1B,94,1.5666666666666667,927,15.45,27,male,6,English,NA
s41041,NA,no warning,2A,486,8.1,336,5.6,24,female,6,English,NA
s41042,NA,no warning,1B,463,7.716666666666667,2108,35.13333333333333,33,female,5,English,NA
s41043,NA,no warning,2B,225,3.75,1186,19.766666666666666,30,male,6,English,NA
s41044,NA,no warning,2A,2397,39.95,2623,43.71666666666667,45,male,6,English,NA
s41045,wrong,warning,1A,291,4.85,437,7.283333333333333,69,male,6,English,NA
s41046,right,warning,1A,2591,43.18333333333333,530,8.833333333333334,47,female,3,English,NA
s41047,right,warning,1B,666,11.1,1218,20.3,45,male,3,English,NA
s41048,right,warning,1B,600,10,869,14.483333333333333,32,female,6,English,NA
s41049,NA,no warning,2A,758,12.633333333333333,682,11.366666666666667,37,male,3,English,NA
s41050,NA,no warning,2B,401,6.683333333333334,541,9.016666666666667,33,male,6,English,NA
s41051,NA,no warning,1A,455,7.583333333333333,446,7.433333333333334,70,male,7,English,NA
s41052,right,warning,1A,453,7.55,1086,18.1,29,male,6,English,NA
s41053,right,warning,2A,2941,49.016666666666666,1969,32.81666666666667,26,female,6,English,NA
s41054,NA,no warning,2A,431,7.183333333333334,486,8.1,28,male,6,English,NA
s41055,NA,no warning,1A,223,3.716666666666667,3983,66.38333333333334,27,male,6,English,NA
s41056,NA,no warning,1B,471,7.85,418,6.966666666666667,50,male,6,English,NA
s41057,NA,no warning,2B,1010,16.833333333333332,1676,27.933333333333334,22,male,6,English,NA
s41058,right,warning,2B,1136,18.933333333333334,1015,16.916666666666668,30,male,6,English,NA
s41059,right,warning,2B,476,7.933333333333334,390,6.5,24,male,6,English,NA
s41060,NA,no warning,2B,504,8.4,914,15.233333333333333,37,male,2,English,NA
