participantID,field,subject_condition,group,graphliteracy_question,rating
s51001,Quantitative,no warning,A,1,3
s51001,Quantitative,no warning,A,2,4
s51001,Quantitative,no warning,A,3,2
s51001,Quantitative,no warning,A,4,3
s51001,Quantitative,no warning,A,5,5
s51001,Quantitative,no warning,A,6,5
s51001,Quantitative,no warning,A,7,6
s51001,Quantitative,no warning,A,8,6
s51001,Quantitative,no warning,A,9,5
s51001,Quantitative,no warning,A,10,6
s51002,Quantitative,warning,A,1,5
s51002,Quantitative,warning,A,2,5
s51002,Quantitative,warning,A,3,3
s51002,Quantitative,warning,A,4,5
s51002,Quantitative,warning,A,5,5
s51002,Quantitative,warning,A,6,5
s51002,Quantitative,warning,A,7,4
s51002,Quantitative,warning,A,8,6
s51002,Quantitative,warning,A,9,5
s51002,Quantitative,warning,A,10,4
s51003,Quantitative,no warning,B,1,5
s51003,Quantitative,no warning,B,2,5
s51003,Quantitative,no warning,B,3,5
s51003,Quantitative,no warning,B,4,6
s51003,Quantitative,no warning,B,5,4
s51003,Quantitative,no warning,B,6,6
s51003,Quantitative,no warning,B,7,5
s51003,Quantitative,no warning,B,8,6
s51003,Quantitative,no warning,B,9,5
s51003,Quantitative,no warning,B,10,4
s51004,Quantitative,warning,B,1,6
s51004,Quantitative,warning,B,2,6
s51004,Quantitative,warning,B,3,6
s51004,Quantitative,warning,B,4,5
s51004,Quantitative,warning,B,5,5
s51004,Quantitative,warning,B,6,5
s51004,Quantitative,warning,B,7,4
s51004,Quantitative,warning,B,8,4
s51004,Quantitative,warning,B,9,1
s51004,Quantitative,warning,B,10,5
s51005,Quantitative,warning,A,1,5
s51005,Quantitative,warning,A,2,5
s51005,Quantitative,warning,A,3,5
s51005,Quantitative,warning,A,4,5
s51005,Quantitative,warning,A,5,5
s51005,Quantitative,warning,A,6,5
s51005,Quantitative,warning,A,7,2
s51005,Quantitative,warning,A,8,5
s51005,Quantitative,warning,A,9,5
s51005,Quantitative,warning,A,10,5
s51006,Quantitative,no warning,A,1,4
s51006,Quantitative,no warning,A,2,4
s51006,Quantitative,no warning,A,3,3
s51006,Quantitative,no warning,A,4,4
s51006,Quantitative,no warning,A,5,4
s51006,Quantitative,no warning,A,6,4
s51006,Quantitative,no warning,A,7,4
s51006,Quantitative,no warning,A,8,5
s51006,Quantitative,no warning,A,9,3
s51006,Quantitative,no warning,A,10,4
s51007,Quantitative,no warning,B,1,6
s51007,Quantitative,no warning,B,2,6
s51007,Quantitative,no warning,B,3,6
s51007,Quantitative,no warning,B,4,6
s51007,Quantitative,no warning,B,5,4
s51007,Quantitative,no warning,B,6,4
s51007,Quantitative,no warning,B,7,4
s51007,Quantitative,no warning,B,8,5
s51007,Quantitative,no warning,B,9,1
s51007,Quantitative,no warning,B,10,4
s51008,Quantitative,warning,A,1,6
s51008,Quantitative,warning,A,2,6
s51008,Quantitative,warning,A,3,5
s51008,Quantitative,warning,A,4,5
s51008,Quantitative,warning,A,5,5
s51008,Quantitative,warning,A,6,5
s51008,Quantitative,warning,A,7,6
s51008,Quantitative,warning,A,8,6
s51008,Quantitative,warning,A,9,5
s51008,Quantitative,warning,A,10,6
s51009,Quantitative,no warning,A,1,3
s51009,Quantitative,no warning,A,2,4
s51009,Quantitative,no warning,A,3,4
s51009,Quantitative,no warning,A,4,2
s51009,Quantitative,no warning,A,5,2
s51009,Quantitative,no warning,A,6,3
s51009,Quantitative,no warning,A,7,4
s51009,Quantitative,no warning,A,8,4
s51009,Quantitative,no warning,A,9,4
s51009,Quantitative,no warning,A,10,3
s51010,Quantitative,warning,A,1,5
s51010,Quantitative,warning,A,2,5
s51010,Quantitative,warning,A,3,3
s51010,Quantitative,warning,A,4,4
s51010,Quantitative,warning,A,5,4
s51010,Quantitative,warning,A,6,4
s51010,Quantitative,warning,A,7,5
s51010,Quantitative,warning,A,8,5
s51010,Quantitative,warning,A,9,3
s51010,Quantitative,warning,A,10,4
s51011,Quantitative,warning,B,1,5
s51011,Quantitative,warning,B,2,3
s51011,Quantitative,warning,B,3,4
s51011,Quantitative,warning,B,4,5
s51011,Quantitative,warning,B,5,5
s51011,Quantitative,warning,B,6,2
s51011,Quantitative,warning,B,7,6
s51011,Quantitative,warning,B,8,5
s51011,Quantitative,warning,B,9,4
s51011,Quantitative,warning,B,10,4
s51012,Quantitative,no warning,B,1,4
s51012,Quantitative,no warning,B,2,4
s51012,Quantitative,no warning,B,3,4
s51012,Quantitative,no warning,B,4,4
s51012,Quantitative,no warning,B,5,4
s51012,Quantitative,no warning,B,6,4
s51012,Quantitative,no warning,B,7,4
s51012,Quantitative,no warning,B,8,4
s51012,Quantitative,no warning,B,9,4
s51012,Quantitative,no warning,B,10,4
s51013,Quantitative,warning,B,1,5
s51013,Quantitative,warning,B,2,5
s51013,Quantitative,warning,B,3,5
s51013,Quantitative,warning,B,4,5
s51013,Quantitative,warning,B,5,5
s51013,Quantitative,warning,B,6,5
s51013,Quantitative,warning,B,7,6
s51013,Quantitative,warning,B,8,6
s51013,Quantitative,warning,B,9,5
s51013,Quantitative,warning,B,10,3
s51014,Quantitative,warning,B,1,6
s51014,Quantitative,warning,B,2,6
s51014,Quantitative,warning,B,3,6
s51014,Quantitative,warning,B,4,6
s51014,Quantitative,warning,B,5,6
s51014,Quantitative,warning,B,6,1
s51014,Quantitative,warning,B,7,4
s51014,Quantitative,warning,B,8,6
s51014,Quantitative,warning,B,9,4
s51014,Quantitative,warning,B,10,4
s51015,Quantitative,no warning,B,1,5
s51015,Quantitative,no warning,B,2,5
s51015,Quantitative,no warning,B,3,5
s51015,Quantitative,no warning,B,4,5
s51015,Quantitative,no warning,B,5,5
s51015,Quantitative,no warning,B,6,5
s51015,Quantitative,no warning,B,7,5
s51015,Quantitative,no warning,B,8,5
s51015,Quantitative,no warning,B,9,3
s51015,Quantitative,no warning,B,10,5
s51016,Quantitative,no warning,A,1,5
s51016,Quantitative,no warning,A,2,5
s51016,Quantitative,no warning,A,3,5
s51016,Quantitative,no warning,A,4,4
s51016,Quantitative,no warning,A,5,4
s51016,Quantitative,no warning,A,6,4
s51016,Quantitative,no warning,A,7,6
s51016,Quantitative,no warning,A,8,4
s51016,Quantitative,no warning,A,9,4
s51016,Quantitative,no warning,A,10,4
s51017,Quantitative,warning,A,1,5
s51017,Quantitative,warning,A,2,5
s51017,Quantitative,warning,A,3,5
s51017,Quantitative,warning,A,4,5
s51017,Quantitative,warning,A,5,5
s51017,Quantitative,warning,A,6,4
s51017,Quantitative,warning,A,7,5
s51017,Quantitative,warning,A,8,5
s51017,Quantitative,warning,A,9,6
s51017,Quantitative,warning,A,10,5
s51018,Quantitative,no warning,B,1,5
s51018,Quantitative,no warning,B,2,5
s51018,Quantitative,no warning,B,3,5
s51018,Quantitative,no warning,B,4,4
s51018,Quantitative,no warning,B,5,4
s51018,Quantitative,no warning,B,6,5
s51018,Quantitative,no warning,B,7,3
s51018,Quantitative,no warning,B,8,4
s51018,Quantitative,no warning,B,9,4
s51018,Quantitative,no warning,B,10,5
s51019,Quantitative,no warning,B,1,6
s51019,Quantitative,no warning,B,2,6
s51019,Quantitative,no warning,B,3,6
s51019,Quantitative,no warning,B,4,6
s51019,Quantitative,no warning,B,5,6
s51019,Quantitative,no warning,B,6,6
s51019,Quantitative,no warning,B,7,6
s51019,Quantitative,no warning,B,8,6
s51019,Quantitative,no warning,B,9,5
s51019,Quantitative,no warning,B,10,6
s51020,Quantitative,warning,A,1,5
s51020,Quantitative,warning,A,2,6
s51020,Quantitative,warning,A,3,4
s51020,Quantitative,warning,A,4,4
s51020,Quantitative,warning,A,5,5
s51020,Quantitative,warning,A,6,5
s51020,Quantitative,warning,A,7,5
s51020,Quantitative,warning,A,8,6
s51020,Quantitative,warning,A,9,4
s51020,Quantitative,warning,A,10,6
s51021,Quantitative,warning,B,1,5
s51021,Quantitative,warning,B,2,5
s51021,Quantitative,warning,B,3,4
s51021,Quantitative,warning,B,4,5
s51021,Quantitative,warning,B,5,5
s51021,Quantitative,warning,B,6,5
s51021,Quantitative,warning,B,7,6
s51021,Quantitative,warning,B,8,6
s51021,Quantitative,warning,B,9,5
s51021,Quantitative,warning,B,10,5
s51022,Quantitative,no warning,B,1,3
s51022,Quantitative,no warning,B,2,4
s51022,Quantitative,no warning,B,3,4
s51022,Quantitative,no warning,B,4,3
s51022,Quantitative,no warning,B,5,3
s51022,Quantitative,no warning,B,6,4
s51022,Quantitative,no warning,B,7,3
s51022,Quantitative,no warning,B,8,4
s51022,Quantitative,no warning,B,9,3
s51022,Quantitative,no warning,B,10,5
s51023,Quantitative,warning,A,1,6
s51023,Quantitative,warning,A,2,5
s51023,Quantitative,warning,A,3,6
s51023,Quantitative,warning,A,4,5
s51023,Quantitative,warning,A,5,5
s51023,Quantitative,warning,A,6,5
s51023,Quantitative,warning,A,7,6
s51023,Quantitative,warning,A,8,5
s51023,Quantitative,warning,A,9,4
s51023,Quantitative,warning,A,10,5
s51024,Quantitative,warning,A,1,4
s51024,Quantitative,warning,A,2,4
s51024,Quantitative,warning,A,3,4
s51024,Quantitative,warning,A,4,4
s51024,Quantitative,warning,A,5,5
s51024,Quantitative,warning,A,6,4
s51024,Quantitative,warning,A,7,4
s51024,Quantitative,warning,A,8,5
s51024,Quantitative,warning,A,9,4
s51024,Quantitative,warning,A,10,4
s51025,Quantitative,warning,B,1,5
s51025,Quantitative,warning,B,2,5
s51025,Quantitative,warning,B,3,4
s51025,Quantitative,warning,B,4,6
s51025,Quantitative,warning,B,5,5
s51025,Quantitative,warning,B,6,4
s51025,Quantitative,warning,B,7,5
s51025,Quantitative,warning,B,8,5
s51025,Quantitative,warning,B,9,3
s51025,Quantitative,warning,B,10,5
s51026,Quantitative,no warning,A,1,6
s51026,Quantitative,no warning,A,2,6
s51026,Quantitative,no warning,A,3,6
s51026,Quantitative,no warning,A,4,6
s51026,Quantitative,no warning,A,5,5
s51026,Quantitative,no warning,A,6,5
s51026,Quantitative,no warning,A,7,5
s51026,Quantitative,no warning,A,8,5
s51026,Quantitative,no warning,A,9,6
s51026,Quantitative,no warning,A,10,5
s51027,Quantitative,no warning,B,1,6
s51027,Quantitative,no warning,B,2,6
s51027,Quantitative,no warning,B,3,6
s51027,Quantitative,no warning,B,4,6
s51027,Quantitative,no warning,B,5,6
s51027,Quantitative,no warning,B,6,6
s51027,Quantitative,no warning,B,7,6
s51027,Quantitative,no warning,B,8,6
s51027,Quantitative,no warning,B,9,6
s51027,Quantitative,no warning,B,10,6
s51028,Quantitative,warning,A,1,3
s51028,Quantitative,warning,A,2,4
s51028,Quantitative,warning,A,3,4
s51028,Quantitative,warning,A,4,3
s51028,Quantitative,warning,A,5,4
s51028,Quantitative,warning,A,6,4
s51028,Quantitative,warning,A,7,3
s51028,Quantitative,warning,A,8,4
s51028,Quantitative,warning,A,9,3
s51028,Quantitative,warning,A,10,4
s51029,Quantitative,warning,B,1,3
s51029,Quantitative,warning,B,2,4
s51029,Quantitative,warning,B,3,3
s51029,Quantitative,warning,B,4,3
s51029,Quantitative,warning,B,5,5
s51029,Quantitative,warning,B,6,2
s51029,Quantitative,warning,B,7,5
s51029,Quantitative,warning,B,8,5
s51029,Quantitative,warning,B,9,4
s51029,Quantitative,warning,B,10,2
s51030,Quantitative,no warning,A,1,6
s51030,Quantitative,no warning,A,2,5
s51030,Quantitative,no warning,A,3,6
s51030,Quantitative,no warning,A,4,5
s51030,Quantitative,no warning,A,5,4
s51030,Quantitative,no warning,A,6,4
s51030,Quantitative,no warning,A,7,5
s51030,Quantitative,no warning,A,8,2
s51030,Quantitative,no warning,A,9,6
s51030,Quantitative,no warning,A,10,4
s51031,Quantitative,no warning,B,1,6
s51031,Quantitative,no warning,B,2,6
s51031,Quantitative,no warning,B,3,6
s51031,Quantitative,no warning,B,4,6
s51031,Quantitative,no warning,B,5,6
s51031,Quantitative,no warning,B,6,6
s51031,Quantitative,no warning,B,7,4
s51031,Quantitative,no warning,B,8,5
s51031,Quantitative,no warning,B,9,5
s51031,Quantitative,no warning,B,10,5
s51032,Quantitative,warning,A,1,6
s51032,Quantitative,warning,A,2,6
s51032,Quantitative,warning,A,3,6
s51032,Quantitative,warning,A,4,5
s51032,Quantitative,warning,A,5,5
s51032,Quantitative,warning,A,6,5
s51032,Quantitative,warning,A,7,4
s51032,Quantitative,warning,A,8,6
s51032,Quantitative,warning,A,9,4
s51032,Quantitative,warning,A,10,5
s51033,Quantitative,no warning,B,1,5
s51033,Quantitative,no warning,B,2,5
s51033,Quantitative,no warning,B,3,3
s51033,Quantitative,no warning,B,4,4
s51033,Quantitative,no warning,B,5,4
s51033,Quantitative,no warning,B,6,4
s51033,Quantitative,no warning,B,7,4
s51033,Quantitative,no warning,B,8,5
s51033,Quantitative,no warning,B,9,4
s51033,Quantitative,no warning,B,10,2
s51034,Quantitative,warning,A,1,4
s51034,Quantitative,warning,A,2,5
s51034,Quantitative,warning,A,3,2
s51034,Quantitative,warning,A,4,4
s51034,Quantitative,warning,A,5,4
s51034,Quantitative,warning,A,6,5
s51034,Quantitative,warning,A,7,4
s51034,Quantitative,warning,A,8,6
s51034,Quantitative,warning,A,9,5
s51034,Quantitative,warning,A,10,5
s51035,Quantitative,no warning,B,1,5
s51035,Quantitative,no warning,B,2,6
s51035,Quantitative,no warning,B,3,3
s51035,Quantitative,no warning,B,4,4
s51035,Quantitative,no warning,B,5,5
s51035,Quantitative,no warning,B,6,6
s51035,Quantitative,no warning,B,7,4
s51035,Quantitative,no warning,B,8,6
s51035,Quantitative,no warning,B,9,5
s51035,Quantitative,no warning,B,10,5
s51036,Quantitative,warning,A,1,5
s51036,Quantitative,warning,A,2,5
s51036,Quantitative,warning,A,3,4
s51036,Quantitative,warning,A,4,5
s51036,Quantitative,warning,A,5,5
s51036,Quantitative,warning,A,6,5
s51036,Quantitative,warning,A,7,4
s51036,Quantitative,warning,A,8,4
s51036,Quantitative,warning,A,9,4
s51036,Quantitative,warning,A,10,5
s51037,Quantitative,no warning,A,1,5
s51037,Quantitative,no warning,A,2,6
s51037,Quantitative,no warning,A,3,2
s51037,Quantitative,no warning,A,4,5
s51037,Quantitative,no warning,A,5,5
s51037,Quantitative,no warning,A,6,6
s51037,Quantitative,no warning,A,7,4
s51037,Quantitative,no warning,A,8,5
s51037,Quantitative,no warning,A,9,5
s51037,Quantitative,no warning,A,10,5
s51038,Quantitative,no warning,B,1,6
s51038,Quantitative,no warning,B,2,6
s51038,Quantitative,no warning,B,3,4
s51038,Quantitative,no warning,B,4,6
s51038,Quantitative,no warning,B,5,6
s51038,Quantitative,no warning,B,6,5
s51038,Quantitative,no warning,B,7,3
s51038,Quantitative,no warning,B,8,3
s51038,Quantitative,no warning,B,9,2
s51038,Quantitative,no warning,B,10,2
s51039,Quantitative,warning,B,1,5
s51039,Quantitative,warning,B,2,5
s51039,Quantitative,warning,B,3,5
s51039,Quantitative,warning,B,4,5
s51039,Quantitative,warning,B,5,5
s51039,Quantitative,warning,B,6,5
s51039,Quantitative,warning,B,7,6
s51039,Quantitative,warning,B,8,6
s51039,Quantitative,warning,B,9,4
s51039,Quantitative,warning,B,10,5
s51040,Quantitative,warning,A,1,4
s51040,Quantitative,warning,A,2,4
s51040,Quantitative,warning,A,3,5
s51040,Quantitative,warning,A,4,4
s51040,Quantitative,warning,A,5,3
s51040,Quantitative,warning,A,6,2
s51040,Quantitative,warning,A,7,4
s51040,Quantitative,warning,A,8,4
s51040,Quantitative,warning,A,9,5
s51040,Quantitative,warning,A,10,4
s51041,Quantitative,no warning,A,1,5
s51041,Quantitative,no warning,A,2,5
s51041,Quantitative,no warning,A,3,4
s51041,Quantitative,no warning,A,4,4
s51041,Quantitative,no warning,A,5,5
s51041,Quantitative,no warning,A,6,4
s51041,Quantitative,no warning,A,7,6
s51041,Quantitative,no warning,A,8,6
s51041,Quantitative,no warning,A,9,5
s51041,Quantitative,no warning,A,10,6
s51042,Quantitative,warning,B,1,6
s51042,Quantitative,warning,B,2,6
s51042,Quantitative,warning,B,3,6
s51042,Quantitative,warning,B,4,6
s51042,Quantitative,warning,B,5,6
s51042,Quantitative,warning,B,6,6
s51042,Quantitative,warning,B,7,6
s51042,Quantitative,warning,B,8,6
s51042,Quantitative,warning,B,9,6
s51042,Quantitative,warning,B,10,6
s51043,Quantitative,no warning,A,1,4
s51043,Quantitative,no warning,A,2,3
s51043,Quantitative,no warning,A,3,4
s51043,Quantitative,no warning,A,4,2
s51043,Quantitative,no warning,A,5,4
s51043,Quantitative,no warning,A,6,4
s51043,Quantitative,no warning,A,7,5
s51043,Quantitative,no warning,A,8,5
s51043,Quantitative,no warning,A,9,5
s51043,Quantitative,no warning,A,10,5
s51044,Quantitative,no warning,B,1,4
s51044,Quantitative,no warning,B,2,4
s51044,Quantitative,no warning,B,3,5
s51044,Quantitative,no warning,B,4,3
s51044,Quantitative,no warning,B,5,5
s51044,Quantitative,no warning,B,6,4
s51044,Quantitative,no warning,B,7,4
s51044,Quantitative,no warning,B,8,4
s51044,Quantitative,no warning,B,9,4
s51044,Quantitative,no warning,B,10,4
s51045,Quantitative,no warning,A,1,6
s51045,Quantitative,no warning,A,2,5
s51045,Quantitative,no warning,A,3,5
s51045,Quantitative,no warning,A,4,4
s51045,Quantitative,no warning,A,5,5
s51045,Quantitative,no warning,A,6,6
s51045,Quantitative,no warning,A,7,4
s51045,Quantitative,no warning,A,8,6
s51045,Quantitative,no warning,A,9,5
s51045,Quantitative,no warning,A,10,5
s51046,Quantitative,warning,B,1,5
s51046,Quantitative,warning,B,2,5
s51046,Quantitative,warning,B,3,5
s51046,Quantitative,warning,B,4,5
s51046,Quantitative,warning,B,5,5
s51046,Quantitative,warning,B,6,5
s51046,Quantitative,warning,B,7,4
s51046,Quantitative,warning,B,8,5
s51046,Quantitative,warning,B,9,4
s51046,Quantitative,warning,B,10,5
s51047,Quantitative,warning,B,1,3
s51047,Quantitative,warning,B,2,3
s51047,Quantitative,warning,B,3,3
s51047,Quantitative,warning,B,4,3
s51047,Quantitative,warning,B,5,4
s51047,Quantitative,warning,B,6,3
s51047,Quantitative,warning,B,7,3
s51047,Quantitative,warning,B,8,4
s51047,Quantitative,warning,B,9,3
s51047,Quantitative,warning,B,10,3
s51048,Quantitative,warning,A,1,6
s51048,Quantitative,warning,A,2,6
s51048,Quantitative,warning,A,3,5
s51048,Quantitative,warning,A,4,5
s51048,Quantitative,warning,A,5,5
s51048,Quantitative,warning,A,6,6
s51048,Quantitative,warning,A,7,6
s51048,Quantitative,warning,A,8,6
s51048,Quantitative,warning,A,9,5
s51048,Quantitative,warning,A,10,6
s51049,Quantitative,no warning,A,1,5
s51049,Quantitative,no warning,A,2,5
s51049,Quantitative,no warning,A,3,5
s51049,Quantitative,no warning,A,4,4
s51049,Quantitative,no warning,A,5,5
s51049,Quantitative,no warning,A,6,5
s51049,Quantitative,no warning,A,7,4
s51049,Quantitative,no warning,A,8,5
s51049,Quantitative,no warning,A,9,4
s51049,Quantitative,no warning,A,10,5
s51050,Quantitative,warning,B,1,5
s51050,Quantitative,warning,B,2,5
s51050,Quantitative,warning,B,3,4
s51050,Quantitative,warning,B,4,6
s51050,Quantitative,warning,B,5,6
s51050,Quantitative,warning,B,6,5
s51050,Quantitative,warning,B,7,4
s51050,Quantitative,warning,B,8,5
s51050,Quantitative,warning,B,9,4
s51050,Quantitative,warning,B,10,5
s51051,Quantitative,no warning,A,1,5
s51051,Quantitative,no warning,A,2,5
s51051,Quantitative,no warning,A,3,5
s51051,Quantitative,no warning,A,4,5
s51051,Quantitative,no warning,A,5,5
s51051,Quantitative,no warning,A,6,5
s51051,Quantitative,no warning,A,7,4
s51051,Quantitative,no warning,A,8,4
s51051,Quantitative,no warning,A,9,4
s51051,Quantitative,no warning,A,10,4
s51052,Quantitative,warning,B,1,5
s51052,Quantitative,warning,B,2,5
s51052,Quantitative,warning,B,3,5
s51052,Quantitative,warning,B,4,5
s51052,Quantitative,warning,B,5,5
s51052,Quantitative,warning,B,6,5
s51052,Quantitative,warning,B,7,6
s51052,Quantitative,warning,B,8,5
s51052,Quantitative,warning,B,9,5
s51052,Quantitative,warning,B,10,5
s51053,Quantitative,warning,A,1,5
s51053,Quantitative,warning,A,2,5
s51053,Quantitative,warning,A,3,4
s51053,Quantitative,warning,A,4,5
s51053,Quantitative,warning,A,5,4
s51053,Quantitative,warning,A,6,3
s51053,Quantitative,warning,A,7,3
s51053,Quantitative,warning,A,8,4
s51053,Quantitative,warning,A,9,4
s51053,Quantitative,warning,A,10,3
s51054,Quantitative,no warning,A,1,6
s51054,Quantitative,no warning,A,2,6
s51054,Quantitative,no warning,A,3,3
s51054,Quantitative,no warning,A,4,6
s51054,Quantitative,no warning,A,5,6
s51054,Quantitative,no warning,A,6,5
s51054,Quantitative,no warning,A,7,6
